seed,dimension,method,total_excess_mean,post_excess_mean,rank_loss_mean,alarms,axis_count_spread
20268000,1,true,0.0,0.0,0.0,0,0.0
20268000,1,max_age,28.02166116008013,22.149250013145792,75.49465278414354,0,0.0
20268000,1,cumulative_ce,7.124132680496524,11.146742650511937,28.989734506107116,0,0.0
20268000,1,cumulative_ucb_cv,6.553044570906763,7.384327325181528,20.48466474319098,0,0.0
20268000,1,sw_whittle_cv_64,5.7641272836157,5.508093348902021,17.898969129361195,0,0.0
20268000,1,sco_reset_ce,3.838425464669709,3.9937990313262337,16.960215808366293,35,0.0
20268000,1,sco_reset_ucb,4.90797431614286,3.7006273310177584,14.912572538783206,33,0.0
20268000,2,true,0.0,0.0,0.0,0,0.0
20268000,2,max_age,16.63009896007192,12.284830676967173,134.65787139763603,0,0.0
20268000,2,cumulative_ce,3.5107996980859033,6.01764003092593,37.537272144670965,0,0.0
20268000,2,cumulative_ucb_cv,3.522757014012851,4.324840760756215,33.38684046537417,0,0.0
20268000,2,sw_whittle_cv_64,3.0802311420979054,3.3411585499817043,29.246017407303157,0,0.0
20268000,2,sco_reset_ce,1.607562924449385,2.053033568495871,18.688696097337584,79,119.0
20268000,2,sco_reset_ucb,2.340963545850033,1.8520909977571998,22.520740762447954,74,134.0
20268000,3,true,0.0,0.0,0.0,0,0.0
20268000,3,max_age,10.211054626662213,8.015395773691663,135.2580472865239,0,0.0
20268000,3,cumulative_ce,2.115135936458945,3.2645968299598485,33.366682966522724,0,0.0
20268000,3,cumulative_ucb_cv,2.424955379377547,2.861338306772349,38.45577634618893,0,0.0
20268000,3,sw_whittle_cv_64,1.933359969207249,1.812009817637411,31.0471901003129,0,0.0
20268000,3,sco_reset_ce,0.9850248860606869,0.9210181807218221,15.296859112656055,100,143.0
20268000,3,sco_reset_ucb,1.6661242203327653,1.2741507357736492,27.540767331344675,96,147.0
20268001,1,true,0.0,0.0,0.0,0,0.0
20268001,1,max_age,37.250636023738835,33.26579316266272,132.7444422852002,0,0.0
20268001,1,cumulative_ce,6.890251353481969,11.77665621043563,35.064713717048406,0,0.0
20268001,1,cumulative_ucb_cv,7.670398246758152,9.917765512610638,30.40844515719671,0,0.0
20268001,1,sw_whittle_cv_64,6.723944666028592,7.5251170059369485,25.97480169841028,0,0.0
20268001,1,sco_reset_ce,3.602075805811811,4.549978031492707,19.803954880171062,43,0.0
20268001,1,sco_reset_ucb,5.180990009999098,4.314928283471653,19.223131508477973,43,0.0
20268001,2,true,0.0,0.0,0.0,0,0.0
20268001,2,max_age,17.076707066035812,15.872587213890643,142.72171519469336,0,0.0
