seed,profile,method,evidence_status,forward_mean,feedback_mean,round_trip_mean,round_trip_p95,round_trip_p99,round_trip_max,post_cost,total_cost,delivery_rate,ack_rate,redundant_attempt_rate,stale_arrival_rate,mean_inflight_per_slot,capacity_utilization,max_inflight_count,learned_wait_threshold,detected_fraction,calendar_delay,observation_delay
20266000,fixed,he_rm,retrospective_addendum,2.0,2.0,4.0,4.0,4.0,4,482.3473175418254,504.5133008871269,0.898125,0.995,0.0,0.0,19.95,1.0,1,2.017297494047222,nan,nan,nan
20266000,light_iid,he_rm,retrospective_addendum,1.9996596534653466,1.9999690594059405,3.9996287128712873,6.0,6.0,6,613.0632855682663,625.8299472843127,0.8991052407328505,0.9951427354069025,0.0,0.0,18.2384375,0.916796875,1,2.255059327879838,nan,nan,nan
20266000,heavy_iid,he_rm,retrospective_addendum,1.9856126237623761,1.9924195544554455,3.9780321782178216,12.0,12.0,22,1857.451582091865,2033.0945766398825,0.8988014590932778,0.9954142782699322,0.0,0.0,14.8603125,0.749609375,1,3.921853027453396,nan,nan,nan
20266000,lognormal,he_rm,retrospective_addendum,2.351144801980198,2.3365872524752476,4.687732054455446,14.0,34.0,123,9825.0696035806,15198.61562213323,0.8972257988996839,0.9950836942526045,0.0,0.0,15.13375,0.667421875,1,5.8301065677543225,nan,nan,nan
20266000,markov_burst,he_rm,retrospective_addendum,1.979115099009901,2.0099783415841586,3.9890934405940595,7.0,12.0,12,1311.27318864616,1431.4721396607918,0.9000184808722972,0.9953797819257069,0.0,0.0,17.0121875,0.84546875,1,2.93839240995547,nan,nan,nan
20266000,forward_heavy,he_rm,retrospective_addendum,1.9856126237623761,2.0,3.985612623762376,13.0,13.0,13,1449.6184614634158,1495.3730254984212,0.8990069161198794,0.9956552580244724,0.0,0.0,17.570625,0.88109375,1,3.189843774737956,nan,nan,nan
20266000,feedback_heavy,he_rm,retrospective_addendum,2.0,1.9924195544554455,3.9924195544554455,13.0,13.0,13,943.0327249681595,983.3873333545765,0.8995147772386414,0.9949713277459197,0.0,0.0,17.565625,0.885546875,1,3.0946151797870445,nan,nan,nan
20266001,fixed,he_rm,retrospective_addendum,2.0,2.0,4.0,4.0,4.0,4,456.53009881214166,479.9848120024165,0.896953125,0.995,0.0,0.0,19.95,1.0,1,2.022167442574984,nan,nan,nan
20266001,light_iid,he_rm,retrospective_addendum,1.9997834158415841,1.9951113861386138,3.994894801980198,6.0,6.0,6,583.2986104302967,608.1797298684859,0.895293315143247,0.9947987721691678,0.0,0.0,18.3203125,0.91625,1,2.265768681416964,nan,nan,nan
20266001,heavy_iid,he_rm,retrospective_addendum,2.0071163366336635,1.9969059405940595,4.0040222772277225,12.0,12.0,22,1809.6405847115882,1978.4646792977878,0.8951362907536077,0.9957242116515232,0.0,0.0,14.8528125,0.730859375,1,3.9917438711376123,nan,nan,nan
20266001,lognormal,he_rm,retrospective_addendum,2.349381188118812,2.336664603960396,4.686045792079208,14.0,33.0,86,9265.660223751984,15129.754651337193,0.8922582946842669,0.9940539897728624,0.0,0.0,15.1203125,0.656953125,1,6.114353326338537,nan,nan,nan
20266001,markov_burst,he_rm,retrospective_addendum,2.0169399752475248,1.9871596534653466,4.004099628712871,7.0,12.0,12,1252.1157457297413,1155.7572640370724,0.8965859826589595,0.9953937861271677,0.0,0.0,17.1675,0.865,1,2.918430375912716,nan,nan,nan
20266001,forward_heavy,he_rm,retrospective_addendum,2.0071163366336635,2.0,4.007116336633663,13.0,13.0,13,1318.8470284254752,1431.6524517296011,0.8965733763903839,0.9950663796196627,0.0,0.0,17.4971875,0.8709375,1,3.166114617829503,nan,nan,nan
20266001,feedback_heavy,he_rm,retrospective_addendum,2.0,1.9969059405940595,3.9969059405940595,13.0,13.0,13,985.2715888503833,991.5045125267229,0.8958295557570263,0.9951949229374434,0.0,0.0,17.4284375,0.86171875,1,3.2556869945289364,nan,nan,nan
20266002,fixed,he_rm,retrospective_addendum,2.0,2.0,4.0,4.0,4.0,4,574.1135352007764,644.1006138494035,0.8978125,0.995,0.0,0.0,19.95,1.0,1,2.035509697110138,nan,nan,nan
20266002,light_iid,he_rm,retrospective_addendum,2.005259900990099,2.0008044554455444,4.006064356435644,6.0,6.0,6,728.2971489148608,802.6786471006792,0.8974358974358975,0.9955555555555555,0.0,0.0,18.2546875,0.9140625,1,2.284259357686309,nan,nan,nan
20266002,heavy_iid,he_rm,retrospective_addendum,2.00572400990099,2.0068069306930694,4.0125309405940595,12.0,12.0,22,2191.5513769799386,2420.652663197998,0.8961806288246466,0.995357670394598,0.0,0.0,14.8284375,0.74046875,1,3.9724801551039777,nan,nan,nan
20266002,lognormal,he_rm,retrospective_addendum,2.3318842821782177,2.297478341584158,4.629362623762376,14.0,33.0,91,10152.943230300363,20519.08648334437,0.89548802946593,0.9948204419889503,0.0,0.0,15.0453125,0.67875,1,5.901360248293017,nan,nan,nan
20266002,markov_burst,he_rm,retrospective_addendum,1.9891707920792079,2.015238242574257,4.004409034653466,7.0,12.0,12,1528.0961070589233,1779.660848620688,0.8954001839926403,0.9951241950321987,0.0,0.0,17.026875,0.84921875,1,2.899762655101487,nan,nan,nan
20266002,forward_heavy,he_rm,retrospective_addendum,2.00572400990099,2.0,4.00572400990099,13.0,13.0,13,1484.5932610019706,1672.6549149283358,0.8971072541165999,0.9951045838896306,0.0,0.0,17.45625,0.877734375,1,3.109579388986235,nan,nan,nan
20266002,feedback_heavy,he_rm,retrospective_addendum,2.0,2.0068069306930694,4.006806930693069,13.0,13.0,13,1275.0948727344896,1427.5737711246634,0.8967904342353682,0.9947855794300099,0.0,0.0,17.4178125,0.868984375,1,3.2036392405640752,nan,nan,nan
20266003,fixed,he_rm,retrospective_addendum,2.0,2.0,4.0,4.0,4.0,4,419.89259500200023,482.90857499933816,0.897265625,0.995,0.0,0.0,19.95,1.0,1,2.008068629779126,nan,nan,nan
20266003,light_iid,he_rm,retrospective_addendum,2.000928217821782,2.0070544554455445,4.0079826732673265,6.0,6.0,6,525.8655134158153,601.6415358809503,0.8968165912776308,0.9946231970640949,0.0,0.0,18.291875,0.915390625,1,2.248351079740959,nan,nan,nan
20266003,heavy_iid,he_rm,retrospective_addendum,2.005259900990099,1.9777227722772277,3.9829826732673266,12.0,22.0,22,1499.1200365466009,1742.5966977406674,0.8991481754127668,0.9946366600063098,0.0,0.0,14.8765625,0.742890625,1,3.9048280639027153,nan,nan,nan
20266003,lognormal,he_rm,retrospective_addendum,2.3176361386138615,2.333601485148515,4.651237623762376,14.0,33.0,109,6150.149860986196,8778.171858666125,0.8979931124569529,0.994062462890393,0.0,0.0,14.88,0.657890625,1,6.170849972002534,nan,nan,nan
20266003,markov_burst,he_rm,retrospective_addendum,1.9883972772277227,2.0038675742574257,3.9922648514851486,7.0,12.0,12,1096.3773778454176,1210.5924291118529,0.8979086406164006,0.9945881489634929,0.0,0.0,17.0778125,0.85171875,1,2.938222118562449,nan,nan,nan
20266003,forward_heavy,he_rm,retrospective_addendum,2.005259900990099,2.0,4.005259900990099,13.0,13.0,13,1060.9714622911765,1267.3614797042644,0.898105112620665,0.9944583482302467,0.0,0.0,17.51,0.8740625,1,3.1322156730866504,nan,nan,nan
20266003,feedback_heavy,he_rm,retrospective_addendum,2.0,1.9777227722772277,3.977722772277228,13.0,13.0,13,862.8486797511973,1012.1595909370417,0.8975882248625643,0.9949459123958149,0.0,0.0,17.53125,0.88109375,1,3.0714296769963996,nan,nan,nan
20266004,fixed,he_rm,retrospective_addendum,2.0,2.0,4.0,4.0,4.0,4,502.0753715147433,499.2815133662474,0.893046875,0.995,0.0,0.0,19.95,1.0,1,1.9935237729297455,nan,nan,nan
20266004,light_iid,he_rm,retrospective_addendum,2.000711633663366,2.0031559405940595,4.003867574257426,6.0,6.0,6,633.4443997632925,624.8166460871736,0.8940855167705044,0.9950499274558334,0.0,0.0,18.279375,0.915390625,1,2.236235390009351,nan,nan,nan
20266004,heavy_iid,he_rm,retrospective_addendum,2.004950495049505,2.016398514851485,4.02134900990099,12.0,22.0,22,1802.993296970192,1921.1159995121807,0.8969614131006204,0.9956892019766586,0.0,0.0,14.9278125,0.743046875,1,3.9705948803331887,nan,nan,nan
20266004,lognormal,he_rm,retrospective_addendum,2.337654702970297,2.3528774752475248,4.690532178217822,14.0,34.0,101,12202.960635093365,16584.076442509562,0.8945348837209303,0.9940697674418605,0.0,0.0,15.2290625,0.671875,1,6.173225101095506,nan,nan,nan
20266004,markov_burst,he_rm,retrospective_addendum,2.0327196782178216,2.016862623762376,4.049582301980198,7.0,12.0,12,1294.8736382858513,1260.3431898139268,0.8940285204991087,0.9962566844919786,0.0,0.0,17.13,0.8765625,1,2.8139425251204218,nan,nan,nan
20266004,forward_heavy,he_rm,retrospective_addendum,2.004950495049505,2.0,4.0049504950495045,13.0,13.0,13,1333.6296902780643,1331.9434070632815,0.8946808510638298,0.9948581560283688,0.0,0.0,17.5715625,0.88125,1,3.1045305078373144,nan,nan,nan
20266004,feedback_heavy,he_rm,retrospective_addendum,2.0,2.016398514851485,4.016398514851486,13.0,13.0,13,1073.3220013042926,1100.7652175019923,0.8931726907630522,0.9950914770191879,0.0,0.0,17.54875,0.875390625,1,3.157319384372806,nan,nan,nan
20266005,fixed,he_rm,retrospective_addendum,2.0,2.0,4.0,4.0,4.0,4,456.24070842155004,507.9601842502642,0.89875,0.995,0.0,0.0,19.95,1.0,1,2.038766140924774,nan,nan,nan
20266005,light_iid,he_rm,retrospective_addendum,2.0016398514851486,2.004238861386139,4.005878712871287,6.0,6.0,6,602.367383727127,639.5830194890133,0.8984615384615384,0.9951282051282051,0.0,0.0,18.2578125,0.9140625,1,2.290828261736872,nan,nan,nan
20266005,heavy_iid,he_rm,retrospective_addendum,2.0091274752475248,1.9972153465346534,4.006342821782178,12.0,12.0,22,1901.3512395867024,2045.1650774033455,0.8955980154122242,0.9942995883035997,0.0,0.0,14.810625,0.740078125,1,3.8915167918774314,nan,nan,nan
20266005,lognormal,he_rm,retrospective_addendum,2.3218595297029703,2.3590346534653466,4.680894183168316,14.0,34.0,125,6224.032883759759,17014.43936880828,0.8945202257761053,0.9945907808090311,0.0,0.0,14.9875,0.664375,1,5.971453812947145,nan,nan,nan
20266005,markov_burst,he_rm,retrospective_addendum,2.0199566831683167,2.0091274752475248,4.029084158415841,7.0,12.0,12,1354.0900450446934,1463.6535204257852,0.897675710713955,0.9952773404944902,0.0,0.0,17.074375,0.843671875,1,3.0013456683900004,nan,nan,nan
20266005,forward_heavy,he_rm,retrospective_addendum,2.0091274752475248,2.0,4.009127475247524,13.0,13.0,13,1427.8800521994733,1577.1163709668203,0.8967440187084008,0.995053067098399,0.0,0.0,17.45375,0.86859375,1,3.186714969601283,nan,nan,nan
