seed,delay_slots,inflight_beta,reference_post_cost,method_post_cost,post_excess_pct,redundant_attempt_rate,calendar_delay,detected_fraction
20262000,1,8.0,199.57691442814394,108.45497474944781,-45.65755510340041,0.03958333333333333,33.45454545454545,1.0
20262000,1,16.0,199.57691442814394,107.60568463412112,-46.08310037137904,0.013541666666666667,32.18181818181818,1.0
20262000,1,32.0,199.57691442814394,106.98136029114369,-46.395924299319965,0.0010416666666666667,33.63636363636363,1.0
20262000,1,64.0,199.57691442814394,107.53453409042493,-46.11875105968638,0.0,33.63636363636363,1.0
20262000,1,1000000.0,199.57691442814394,107.53453409042493,-46.11875105968638,0.0,33.63636363636363,1.0
20262000,3,8.0,966.7537658093216,328.005005988716,-66.07150470066954,0.4015625,37.0,1.0
20262000,3,16.0,966.7537658093216,327.716757564293,-66.10132081668763,0.2994791666666667,34.27272727272727,1.0
20262000,3,32.0,966.7537658093216,330.8042840961518,-65.78195029639035,0.20416666666666666,35.27272727272727,1.0
20262000,3,64.0,966.7537658093216,334.3742428239356,-65.41267749352775,0.13229166666666667,34.2,0.9090909090909091
20262000,3,1000000.0,966.7537658093216,362.848493140506,-62.46733077509701,0.0,33.5,0.9090909090909091
20262000,5,8.0,2853.7718354980225,789.97971363849,-72.31804926336629,0.6473958333333333,43.18181818181818,1.0
20262000,5,16.0,2853.7718354980225,787.849730939108,-72.39268671941261,0.596875,36.45454545454545,1.0
20262000,5,32.0,2853.7718354980225,763.6679762830865,-73.24004789787912,0.578125,37.90909090909091,1.0
20262000,5,64.0,2853.7718354980225,771.1563143405201,-72.97764646955586,0.5494791666666666,38.27272727272727,1.0
20262000,5,1000000.0,2853.7718354980225,761.1696694922887,-73.32759192504071,0.5619791666666667,40.0,1.0
20262001,1,8.0,124.8766499903177,69.52230034166932,-44.32722182484898,0.036458333333333336,31.636363636363637,1.0
20262001,1,16.0,124.8766499903177,67.18134091581436,-46.201839238141595,0.0109375,32.18181818181818,1.0
20262001,1,32.0,124.8766499903177,68.38893885202023,-45.234806621315705,0.003125,32.18181818181818,1.0
20262001,1,64.0,124.8766499903177,67.75659130461992,-45.74118435282063,0.0005208333333333333,32.27272727272727,1.0
20262001,1,1000000.0,124.8766499903177,67.42550283726055,-46.00631675938745,0.0,32.27272727272727,1.0
