spatial_dimension,method,relative_vs_ca_index_pct_mean,relative_vs_ca_index_pct_ci_low,relative_vs_ca_index_pct_ci_high,action_disagreement_rate_mean,action_disagreement_rate_ci_low,action_disagreement_rate_ci_high,cost_ratio_age_8_mean,cost_ratio_age_8_ci_low,cost_ratio_age_8_ci_high,cost_ratio_age_16_mean,cost_ratio_age_16_ci_low,cost_ratio_age_16_ci_high,cost_ratio_age_32_mean,cost_ratio_age_32_ci_low,cost_ratio_age_32_ci_high,cost_ratio_age_64_mean,cost_ratio_age_64_ci_low,cost_ratio_age_64_ci_high
1,ca_index,0.0,0.0,0.0,0.0,0.0,0.0,0.9658023579071906,0.9635760408320782,0.968028674982303,0.5539407460613693,0.542450648701232,0.5654308434215066,0.2330675450484394,0.22508967413844128,0.24104541595843754,0.0787089760795879,0.07534784341545672,0.08207010874371909
1,cubic_cv_surrogate,0.6292122602271187,0.47284481745207885,0.7855797030021586,0.09334583333333331,0.08408794583664482,0.1026037208300218,0.9658023579071906,0.9635760408320782,0.968028674982303,0.5539407460613693,0.542450648701232,0.5654308434215066,0.2330675450484394,0.22508967413844128,0.24104541595843754,0.0787089760795879,0.07534784341545672,0.08207010874371909
1,max_age,46.77122609185519,41.95886532610742,51.58358685760296,0.45495416666666666,0.43484522369919176,0.47506310963414156,0.9658023579071906,0.9635760408320782,0.968028674982303,0.5539407460613693,0.542450648701232,0.5654308434215066,0.2330675450484394,0.22508967413844128,0.24104541595843754,0.0787089760795879,0.07534784341545672,0.08207010874371909
2,ca_index,0.0,0.0,0.0,0.0,0.0,0.0,0.9583849443595124,0.9562544029871028,0.9605154857319219,0.5066248053359595,0.4965950145403719,0.5166545961315472,0.19776746355111816,0.1912814751640077,0.2042534519382286,0.06336060779855147,0.06076137604463148,0.06595983955247148
2,cubic_cv_surrogate,0.38991606808714013,0.25535920965210945,0.5244729265221708,0.07958333333333334,0.07227015365735244,0.08689651300931424,0.9583849443595124,0.9562544029871028,0.9605154857319219,0.5066248053359595,0.4965950145403719,0.5166545961315472,0.19776746355111816,0.1912814751640077,0.2042534519382286,0.06336060779855147,0.06076137604463148,0.06595983955247148
2,max_age,22.869166099823868,20.478048240348905,25.26028395929883,0.36332083333333337,0.34289321269828665,0.3837484539683801,0.9583849443595124,0.9562544029871028,0.9605154857319219,0.5066248053359595,0.4965950145403719,0.5166545961315472,0.19776746355111816,0.1912814751640077,0.2042534519382286,0.06336060779855147,0.06076137604463148,0.06595983955247148
3,ca_index,0.0,0.0,0.0,0.0,0.0,0.0,0.956089250435298,0.9542985301348894,0.9578799707357066,0.48990866581830794,0.48178897430453654,0.49802835733207934,0.18535081359589192,0.18025334610041102,0.19044828109137282,0.058079044187615066,0.05607874965142819,0.06007933872380194
3,cubic_cv_surrogate,0.2647326782259063,0.09729779384154799,0.43216756261026457,0.06215,0.056502752290747714,0.06779724770925227,0.956089250435298,0.9542985301348894,0.9578799707357066,0.48990866581830794,0.48178897430453654,0.49802835733207934,0.18535081359589192,0.18025334610041102,0.19044828109137282,0.058079044187615066,0.05607874965142819,0.06007933872380194
3,max_age,13.992197533386916,12.439133235128867,15.545261831644964,0.31000416666666664,0.2928218583728535,0.32718647496047976,0.956089250435298,0.9542985301348894,0.9578799707357066,0.48990866581830794,0.48178897430453654,0.49802835733207934,0.18535081359589192,0.18025334610041102,0.19044828109137282,0.058079044187615066,0.05607874965142819,0.06007933872380194
