seed,profile,forward_mean,feedback_mean,round_trip_mean,round_trip_p95,round_trip_p99,round_trip_max,pa_reduction_vs_sco_pct,pa_reduction_vs_forced_pct,pa_reduction_vs_stopwait_pct,sco_redundant_attempt_rate,pa_redundant_attempt_rate,stopwait_redundant_attempt_rate,sco_stale_arrival_rate,pa_stale_arrival_rate,stopwait_stale_arrival_rate,sco_post_cost,pa_post_cost,stopwait_post_cost,forced_post_cost,pa_calendar_delay,pa_observation_delay
20266000,fixed,2.0,2.0,4.0,4.0,4.0,4,87.92212896893606,86.94251443650276,14.20659032470268,0.800390625,0.2771875,0.0,0.0,0.0,0.0,3429.5205630529936,414.21307058935815,482.8029007787802,3172.22690827481,45.611111111111114,7.444444444444445
20266000,light_iid,1.9996596534653466,1.9999690594059405,3.9996287128712873,6.0,6.0,6,83.4109747974937,82.7727307624526,12.561198360353739,0.7803125,0.33125,0.09015625,0.11068602730197374,0.017824536996782887,0.0038254216657972527,2691.9307605293147,446.5650722982279,510.7172833161835,2592.198833956366,47.361111111111114,7.694444444444445
20266000,heavy_iid,1.9856126237623761,1.9924195544554455,3.9780321782178216,12.0,12.0,22,61.84514827163695,61.48033845088226,61.751579527836185,0.74375,0.380859375,0.085,0.06352797841789226,0.07321102512824972,0.014774900052146706,1217.5965521223984,464.57215911196175,1214.6178936985516,1206.0650079169827,46.90909090909091,7.484848484848484
20266000,lognormal,2.351144801980198,2.3365872524752476,4.687732054455446,14.0,34.0,123,69.09683874146864,67.19889971958355,41.81410058367541,0.789140625,0.454765625,0.20875,0.08690735102218355,0.056159262801008435,0.029624466323952253,1740.1450314940578,537.7598252149297,924.2098697610855,1639.4566664460142,47.611111111111114,7.638888888888889
20266000,markov_burst,1.979115099009901,2.0099783415841586,3.9890934405940595,7.0,12.0,12,76.92166520399805,74.69618998963706,54.8247419100175,0.755625,0.3275,0.0771875,0.05815269435013493,0.021408058480549996,0.003652809184205949,2058.021093111585,474.95699804063065,1051.365322793698,1877.0177212290032,47.513513513513516,7.378378378378378
20266000,forward_heavy,1.9856126237623761,2.0,3.985612623762376,13.0,13.0,13,77.39966433178343,76.14312940740992,53.90514060227558,0.769921875,0.3046875,0.06328125,0.06732191006349482,0.07041641310962357,0.016001391425341335,1981.045493852258,447.7229313506889,971.307727587497,1876.7043632694688,46.138888888888886,7.388888888888889
20266000,feedback_heavy,2.0,1.9924195544554455,3.9924195544554455,13.0,13.0,13,79.83994618123306,78.90018672107884,38.46992142010331,0.76984375,0.3071875,0.059296875,0.0,0.0,0.0,2300.6644022025416,463.81518167324526,753.8023554950969,2198.195669042244,48.67567567567568,7.5675675675675675
20266001,fixed,2.0,2.0,4.0,4.0,4.0,4,87.48589623714821,86.50374333148017,6.945836431650189,0.800859375,0.262734375,0.0,0.0,0.0,0.0,3389.962322057904,424.22340250390613,455.8886848650325,3143.2671512050592,46.241379310344826,7.448275862068965
20266001,light_iid,1.9997834158415841,1.9951113861386138,3.994894801980198,6.0,6.0,6,83.77499361722467,82.97135334854813,11.562789070645977,0.781328125,0.3265625,0.096171875,0.11581427823354862,0.01727145847871598,0.0029660647300008723,2751.7019819624556,446.46382220836426,504.8370674704015,2621.8397230662968,45.3448275862069,7.413793103448276
20266001,heavy_iid,2.0071163366336635,1.9969059405940595,4.0040222772277225,12.0,12.0,22,61.71751267899544,61.04084799150042,60.47146047494173,0.74828125,0.39421875,0.106171875,0.06570107320478143,0.07706406004538313,0.017450484250937964,1231.3188842766208,471.3794957543321,1192.5042043496474,1209.9326382963698,45.32142857142857,7.321428571428571
