seed,spatial_dimension,method,average_cost,relative_vs_ca_index_pct,action_disagreement_rate,cost_ratio_age_8,cost_ratio_age_16,cost_ratio_age_32,cost_ratio_age_64
20270000,1,ca_index,7716.30606264964,0.0,0.0,0.9637523764788488,0.5391293084628144,0.221085142086976,0.07324409289509616
20270000,1,cubic_cv_surrogate,8088.816141217635,4.827570025651395,0.511,0.9637523764788488,0.5391293084628144,0.221085142086976,0.07324409289509616
20270000,1,max_age,14351.077616557977,85.98377902638659,0.8005,0.9637523764788488,0.5391293084628144,0.221085142086976,0.07324409289509616
20270000,2,ca_index,22861.92612360047,0.0,0.0,0.9603472523509738,0.5100430080147589,0.19757460288587908,0.06269311343946421
20270000,2,cubic_cv_surrogate,22593.74509227418,-1.1730465310595406,0.505,0.9603472523509738,0.5100430080147589,0.19757460288587908,0.06269311343946421
20270000,2,max_age,26980.542041128614,18.015174641284815,0.601,0.9603472523509738,0.5100430080147589,0.19757460288587908,0.06269311343946421
20270000,3,ca_index,40880.520681191374,0.0,0.0,0.953282372749837,0.47249557252843627,0.173052186565255,0.05299931745391678
20270000,3,cubic_cv_surrogate,41490.60085703062,1.4923493284172862,0.376,0.953282372749837,0.47249557252843627,0.173052186565255,0.05299931745391678
20270000,3,max_age,45502.143935598964,11.305196649645266,0.5015,0.953282372749837,0.47249557252843627,0.173052186565255,0.05299931745391678
20270001,1,ca_index,5381.971882608986,0.0,0.0,0.9688852280896336,0.5619219613914009,0.23512009393550848,0.07866696957612744
20270001,1,cubic_cv_surrogate,5636.0471778586,4.72085883745732,0.5215,0.9688852280896336,0.5619219613914009,0.23512009393550848,0.07866696957612744
20270001,1,max_age,11438.289909811487,112.52972254969524,0.8005,0.9688852280896336,0.5619219613914009,0.23512009393550848,0.07866696957612744
20270001,2,ca_index,15624.594382126117,0.0,0.0,0.956702658141217,0.49324196501600576,0.18706760926529825,0.05861375809698408
20270001,2,cubic_cv_surrogate,16252.040167002573,4.015757270436593,0.4995,0.956702658141217,0.49324196501600576,0.18706760926529825,0.05861375809698408
20270001,2,max_age,21922.457729686983,40.307371785378045,0.651,0.956702658141217,0.49324196501600576,0.18706760926529825,0.05861375809698408
20270001,3,ca_index,22689.030384537906,0.0,0.0,0.957644034090414,0.4962078795109819,0.18902849254023604,0.05948363948726106
20270001,3,cubic_cv_surrogate,22848.448037146893,0.7026199441190206,0.372,0.957644034090414,0.4962078795109819,0.18902849254023604,0.05948363948726106
