dimension,method,total_excess_mean,total_excess_mean_ci_low,total_excess_mean_ci_high,post_excess_mean,post_excess_mean_ci_low,post_excess_mean_ci_high,rank_loss_mean,rank_loss_mean_ci_low,rank_loss_mean_ci_high,max_axis_count_spread
1,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,max_age,31.816954059130406,29.874152128733986,33.75975598952683,26.04231805205256,23.92004194408948,28.164594160015643,102.87972373106032,94.14273632242883,111.61671113969182,0.0
1,cumulative_ce,7.402267252638399,6.790627710001418,8.01390679527538,11.817986219895595,10.877888530434888,12.758083909356301,35.27372602677591,30.18756312293285,40.35988893061897,0.0
1,cumulative_ucb_cv,7.487614211339164,6.800326121104018,8.17490230157431,8.881104105579723,8.173315109093599,9.588893102065848,27.582523640913706,25.06274969724899,30.102297584578423,0.0
1,sw_whittle_cv_64,6.545550913865021,5.802142766067783,7.2889590616622595,6.778395016834124,6.059539519729892,7.497250513938356,23.56696890846186,21.218303802294297,25.915634014629422,0.0
1,sco_reset_ce,3.8138363016305465,3.2455771864901846,4.382095416770908,4.17072742595327,3.6884137290588077,4.653041122847733,19.21582213031303,16.146311691740866,22.28533256888519,0.0
1,sco_reset_ucb,5.221379634936263,4.580528002890374,5.862231266982152,4.021216957396995,3.5549801903918046,4.487453724402187,18.121251463078433,16.267810167413526,19.97469275874334,0.0
2,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,max_age,15.828654056377117,14.483751516718595,17.173556596035638,13.349275052959456,12.167632072023201,14.530918033895711,126.26452226647507,114.32239050371311,138.20665402923703,0.0
2,cumulative_ce,3.3283525419104643,3.016562405707133,3.6401426781137953,5.609201037846668,5.057709491453334,6.160692584240001,33.519418783726515,30.817287819595666,36.22154974785736,0.0
2,cumulative_ucb_cv,4.036791443667224,3.769907469407859,4.303675417926589,4.937769239863036,4.447681151023802,5.427857328702271,37.01958155268449,35.02005771307943,39.01910539228955,0.0
2,sw_whittle_cv_64,3.4855298796244,3.231078625713067,3.7399811335357334,3.6715888366683345,3.3043119786758766,4.038865694660792,31.836313559114846,30.31129533520695,33.36133178302274,0.0
2,sco_reset_ce,1.5694913415355165,1.3249843963626813,1.8139982867083517,1.7453764131423535,1.5029120939723228,1.9878407323123841,17.118623961785485,14.652003356634367,19.585244566936602,225.0
2,sco_reset_ucb,2.780182321769231,2.5695451634159503,2.990819480122512,2.1775197325777964,1.9606420593426426,2.39439740581295,25.336550785777103,24.0494455432801,26.623656028274105,199.0
3,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,max_age,9.800844786760937,9.23950120017776,10.362188373344114,8.916465789791115,7.982798896158261,9.850132683423968,128.9036829920792,121.08886329158857,136.71850269256984,0.0
3,cumulative_ce,2.252653811780459,2.033102162582283,2.4722054609786346,3.9524810562183017,3.4518145241311746,4.453147588305429,35.01714793752229,31.6345772658315,38.399718609213075,0.0
3,cumulative_ucb_cv,2.8443709062218683,2.6184761747665446,3.070265637677192,3.6185119125617287,3.3043167626252643,3.932707062498193,41.164599915038885,38.2114014178056,44.11779841227217,0.0
3,sw_whittle_cv_64,2.3929255737398596,2.1592303168093494,2.6266208306703698,2.6139995963400584,2.3341089847849767,2.89389020789514,34.57688206233173,31.635885547286012,37.51787857737744,0.0
3,sco_reset_ce,1.0194898133512666,0.8907286127750043,1.148251013927529,1.2066836373328365,1.031269282422407,1.382097992243266,16.296966011334344,14.38139290198187,18.21253912068682,220.0
3,sco_reset_ucb,1.8808664284577425,1.6771527655101843,2.0845800914053005,1.490295219607627,1.2885557197280073,1.6920347194872465,27.22096033373501,24.781921009029475,29.659999658440547,191.0
