profile,seeds,he_post_cost_mean,he_post_cost_ci_low,he_post_cost_ci_high,sco_post_cost_mean,sco_post_cost_ci_low,sco_post_cost_ci_high,pa_post_cost_mean,pa_post_cost_ci_low,pa_post_cost_ci_high,pa_reduction_vs_he_pct_mean,pa_reduction_vs_he_pct_ci_low,pa_reduction_vs_he_pct_ci_high,sco_reduction_vs_he_pct_mean,sco_reduction_vs_he_pct_ci_low,sco_reduction_vs_he_pct_ci_high
fixed,12,472.52215972331436,442.6799760358305,502.3643434107982,3486.4406227579652,3241.2805743161293,3731.600671199801,426.02436417220366,398.61872910674896,453.42999923765836,9.8082628368811,7.961278697159833,11.655246976602369,-637.8845701904219,-661.4827009621297,-614.286439418714
light_iid,12,600.6772714074574,558.011980340455,643.3425624744598,2797.9291280013167,2608.184442265541,2987.6738137370926,446.51981864430394,419.4172998875991,473.6223374010088,25.46937348050675,23.832973942588072,27.105773018425428,-366.86039055373766,-382.1123861637276,-351.6083949437477
heavy_iid,12,1803.4764528683947,1653.4636592782383,1953.4892464585512,1261.2886689190962,1179.7623756052496,1342.8149622329427,470.23062358837814,440.06302769541077,500.3982194813455,73.75231324821054,72.7403020058171,74.76432449060398,29.595929980495242,26.830672401067332,32.36118755992315
lognormal,12,8434.79041912484,7301.620089659373,9567.960748590307,1784.043945248651,1658.2601089370155,1909.8277815602864,544.2879268621199,509.928834418873,578.6470193053667,93.30674959343054,92.61252926282505,94.00096992403603,78.03705265964076,75.62262403208825,80.45148128719327
markov_burst,12,1357.9728300323798,1241.7640614950565,1474.181598569703,2116.241906624064,1979.196448878467,2253.287364369661,503.07515947009284,470.78461861292936,535.3657003272564,62.69491999097721,60.98934594193132,64.4004940400231,-56.80432942689537,-63.24504533745658,-50.36361351633416
forward_heavy,12,1329.5459897138844,1228.6376514604312,1430.4543279673376,1997.317530189902,1869.6487251914104,2124.9863351883937,458.48082872525515,429.00124085515966,487.96041659535064,65.38104554768002,64.32781122837034,66.4342798669897,-50.84025573334842,-55.539304581624826,-46.141206885072016
feedback_heavy,12,985.1628399108481,906.8860182314539,1063.4396615902422,2339.0881423472733,2190.2542338895832,2487.9220508049634,455.31974073181055,425.760521274667,484.8789601889541,53.59646048630436,52.30772119367472,54.885199778933995,-138.5730447094396,-146.54085598687234,-130.60523343200688
