delay_slots,method,inflight_beta,seeds,post_excess_pct_mean,post_excess_pct_ci_low,post_excess_pct_ci_high,total_excess_pct_mean,total_excess_pct_ci_low,total_excess_pct_ci_high,redundant_attempt_rate_mean,redundant_attempt_rate_ci_low,redundant_attempt_rate_ci_high,calendar_delay_mean,calendar_delay_ci_low,calendar_delay_ci_high,detected_fraction_mean,detected_fraction_ci_low,detected_fraction_ci_high
1,sco_reset_ucb,nan,6,8.712486421955042,6.293910092146891,11.131062751763192,9.149453744410721,6.374748016239479,11.924159472581962,0.5201388888888888,0.5167361111111111,0.5235416666666666,34.4061026936027,32.20006343193313,36.612141955272264,0.9814814814814815,0.9451851851851852,1.017777777777778
1,ps_forced_reset_ucb,nan,6,8.059604528611954,5.962900995831659,10.156308061392249,8.452049169228857,5.922698385043734,10.98139995341398,0.5126736111111111,0.5073517711007689,0.5179954511214533,34.83531144781145,32.68343352714464,36.987189368478255,0.9814814814814815,0.9451851851851852,1.017777777777778
1,inflight_sco_ucb,0.0,6,8.712486421955042,6.293910092146891,11.131062751763192,9.149453744410721,6.374748016239479,11.924159472581962,0.5201388888888888,0.5167361111111111,0.5235416666666666,34.4061026936027,32.20006343193313,36.612141955272264,0.9814814814814815,0.9451851851851852,1.017777777777778
1,inflight_sco_ucb,0.25,6,3.2662300838338822,0.6709643806275682,5.861495787040196,3.6289305502052938,0.9840829439122203,6.273778156498367,0.5029513888888889,0.4998813364729814,0.5060214413047964,34.73522727272727,32.09897725615559,37.37147728929895,1.0,1.0,1.0
1,inflight_sco_ucb,0.5,6,-4.8467988690368164,-6.819801000980965,-2.8737967370926683,-4.476335197826167,-6.872305213056813,-2.0803651825955205,0.4700520833333333,0.4681377372895202,0.47196642937714645,34.83198653198653,32.17395472688294,37.49001833709012,1.0,1.0,1.0
1,inflight_sco_ucb,1.0,6,-17.193357303961648,-19.814758767109183,-14.571955840814113,-16.945525298312692,-19.1551734056754,-14.735877190949985,0.40138888888888885,0.3973857410148734,0.4053920367629043,37.161742424242426,33.618102201440166,40.70538264704469,1.0,1.0,1.0
1,inflight_sco_ucb,2.0,6,-34.245417194610106,-35.94817625120254,-32.54265813801767,-32.401595179530915,-34.35112036510224,-30.452069993959594,0.26493055555555556,0.25640321888582024,0.2734578922252909,36.473106060606064,33.82148472404539,39.12472739716674,0.9848484848484849,0.9551515151515152,1.0145454545454546
1,inflight_sco_ucb,4.0,6,-41.72913529439025,-42.49856883716807,-40.95970175161242,-39.93999754883234,-41.43134325979948,-38.44865183786519,0.12352430555555556,0.11921404574869665,0.12783456536241447,36.172937710437715,32.742717524695905,39.603157896179525,1.0,1.0,1.0
3,sco_reset_ucb,nan,6,10.775002226148535,9.759593009664572,11.790411442632498,10.559051717612242,7.690973109297416,13.427130325927067,0.7505208333333333,0.7490066928088847,0.752034973857782,35.84848484848485,34.22437009208212,37.472599604887584,0.9629629629629629,0.9170513761931108,1.0088745497328149
3,ps_forced_reset_ucb,nan,6,6.875920538641353,4.6803678807927565,9.071473196489949,6.956570387779171,4.259346115548936,9.653794660009407,0.7413194444444445,0.7394066111199856,0.7432322777689034,36.397601010101006,34.08377632702197,38.71142569318004,0.9848484848484849,0.9551515151515152,1.0145454545454546
3,inflight_sco_ucb,0.0,6,10.775002226148535,9.759593009664572,11.790411442632498,10.559051717612242,7.690973109297416,13.427130325927067,0.7505208333333333,0.7490066928088847,0.752034973857782,35.84848484848485,34.22437009208212,37.472599604887584,0.9629629629629629,0.9170513761931108,1.0088745497328149
3,inflight_sco_ucb,0.25,6,-8.830592097635149,-11.281664357547022,-6.379519837723276,-8.869884162351303,-11.263201454402488,-6.476566870300119,0.7275173611111111,0.7261885339093075,0.7288461883129147,39.153535353535354,35.54223477772351,42.7648359293472,1.0,1.0,1.0
3,inflight_sco_ucb,0.5,6,-25.754278292982434,-28.122366930619595,-23.386189655345273,-25.922967983002824,-28.095598969237273,-23.750336996768375,0.6999999999999998,0.696793434830666,0.7032065651693337,40.095454545454544,34.87416225003957,45.31674684086952,0.9814814814814815,0.9451851851851852,1.017777777777778
