profile,method,seeds,post_cost_mean,post_cost_ci_low,post_cost_ci_high,total_cost_mean,total_cost_ci_low,total_cost_ci_high,delivery_rate_mean,delivery_rate_ci_low,delivery_rate_ci_high,ack_rate_mean,ack_rate_ci_low,ack_rate_ci_high,redundant_attempt_rate_mean,redundant_attempt_rate_ci_low,redundant_attempt_rate_ci_high,stale_arrival_rate_mean,stale_arrival_rate_ci_low,stale_arrival_rate_ci_high,mean_inflight_per_slot_mean,mean_inflight_per_slot_ci_low,mean_inflight_per_slot_ci_high,capacity_utilization_mean,capacity_utilization_ci_low,capacity_utilization_ci_high,max_inflight_count_mean,max_inflight_count_ci_low,max_inflight_count_ci_high,learned_wait_threshold_mean,learned_wait_threshold_ci_low,learned_wait_threshold_ci_high,detected_fraction_mean,detected_fraction_ci_low,detected_fraction_ci_high,calendar_delay_mean,calendar_delay_ci_low,calendar_delay_ci_high,observation_delay_mean,observation_delay_ci_low,observation_delay_ci_high
fixed,he_rm,12,472.52215972331436,442.6799760358305,502.3643434107982,518.0486757288651,486.89951754937175,549.1978339083585,0.8977826326875228,0.8964486547767742,0.8991166105982714,0.9949998045959042,0.9949994216038767,0.9950001875879317,0.0,0.0,0.0,0.0,0.0,0.0,19.949218749999996,19.947687499999997,19.950749999999996,0.9999609375,0.999884375,1.0000375000000001,1.0,1.0,1.0,2.0203117389859675,2.0126466655548954,2.0279768124170396,nan,nan,nan,nan,nan,nan,nan,nan,nan
light_iid,he_rm,12,600.6772714074574,558.011980340455,643.3425624744598,646.7056712601702,607.2616782556615,686.1496642646789,0.8976215166218197,0.8962422555094931,0.8990007777341462,0.9950935324986054,0.9949516795435196,0.9952353854536913,0.0,0.0,0.0,0.0,0.0,0.0,18.259999999999998,18.243124137017013,18.276875862982983,0.9155403645833337,0.9148097718431545,0.9162709573235128,1.0,1.0,1.0,2.2650154936712883,2.255621473413448,2.2744095139291285,nan,nan,nan,nan,nan,nan,nan,nan,nan
heavy_iid,he_rm,12,1803.4764528683947,1653.4636592782383,1953.4892464585512,1996.6979320667112,1870.5054297905613,2122.890434342861,0.8976926541478957,0.8960623590608514,0.8993229492349399,0.9953345932249714,0.99503990646771,0.9956292799822328,0.0,0.0,0.0,0.0,0.0,0.0,14.858177083333333,14.83147405511577,14.884880111550896,0.7453906250000001,0.7401713579064472,0.750609892093553,1.0,1.0,1.0,3.933206620592672,3.9045667001050086,3.9618465410803356,nan,nan,nan,nan,nan,nan,nan,nan,nan
lognormal,he_rm,12,8434.79041912484,7301.620089659373,9567.960748590307,13756.187090647756,11382.89004149065,16129.484139804863,0.8967113556986267,0.894658830623835,0.8987638807734184,0.9945219216204219,0.9942520251975205,0.9947918180433232,0.0,0.0,0.0,0.0,0.0,0.0,15.070364583333332,14.97393106563691,15.166798101029753,0.6710872395833333,0.662050181984396,0.6801242971822705,1.0,1.0,1.0,5.7830081286161885,5.610336364832405,5.955679892399972,nan,nan,nan,nan,nan,nan,nan,nan,nan
markov_burst,he_rm,12,1357.9728300323798,1241.7640614950565,1474.181598569703,1430.3155227483524,1329.3539683035617,1531.277077193143,0.8976590080515573,0.8962111467684096,0.899106869334705,0.9953231571262853,0.9950906844236045,0.9955556298289661,0.0,0.0,0.0,0.0,0.0,0.0,17.095390624999997,17.058232154629476,17.132549095370518,0.8538151041666667,0.8481215867320842,0.8595086216012493,1.0,1.0,1.0,2.946729861735012,2.9143186621630823,2.979141061306942,nan,nan,nan,nan,nan,nan,nan,nan,nan
forward_heavy,he_rm,12,1329.5459897138844,1228.6376514604312,1430.4543279673376,1454.795404667465,1376.2156595039864,1533.3751498309434,0.897687930792951,0.896362277968305,0.8990135836175969,0.9950962599682379,0.9949038208932877,0.9952886990431882,0.0,0.0,0.0,0.0,0.0,0.0,17.533515625,17.495203159507252,17.571828090492748,0.8789908854166666,0.8745787342992875,0.8834030365340457,1.0,1.0,1.0,3.1407127225680713,3.1234431236847544,3.1579823214513882,nan,nan,nan,nan,nan,nan,nan,nan,nan
feedback_heavy,he_rm,12,985.1628399108481,906.8860182314539,1063.4396615902422,1091.8983763834256,1008.6501973822711,1175.14655538458,0.8973910928279607,0.8960140656718867,0.8987681199840347,0.9950110183366375,0.9948794932110593,0.9951425434622158,0.0,0.0,0.0,0.0,0.0,0.0,17.515390625000002,17.476741076034468,17.554040173965536,0.8782682291666667,0.8726204770846661,0.8839159812486673,1.0,1.0,1.0,3.14452505628508,3.1109680779744506,3.1780820345957093,nan,nan,nan,nan,nan,nan,nan,nan,nan
