seed,success_probability,delay_slots,capacity,capacity_ratio,method,post_change_slot,cumulative_post_cost,reference_cumulative_post_cost,cumulative_excess_pct
20261000,0.9,0,2,0.1,cumulative_ucb_cv,10,7698.283318777932,5776.269533443728,33.27430920953456
20261000,0.9,0,2,0.1,cumulative_ucb_cv,20,14704.124362392167,11139.382165878487,32.00125593529768
20261000,0.9,0,2,0.1,cumulative_ucb_cv,30,21099.48463403195,16562.878437689775,27.390204024071487
20261000,0.9,0,2,0.1,cumulative_ucb_cv,40,27444.971691230257,21423.58435967127,28.10634873449991
20261000,0.9,0,2,0.1,cumulative_ucb_cv,50,33393.66033676359,27048.642118475433,23.45780682999323
20261000,0.9,0,2,0.1,cumulative_ucb_cv,60,38723.09255035764,32269.616732663144,19.99861315725613
20261000,0.9,0,2,0.1,cumulative_ucb_cv,70,44266.909471396764,37656.906676331826,17.553228287918476
20261000,0.9,0,2,0.1,cumulative_ucb_cv,80,49119.636717180765,42582.61011144775,15.351399523477372
20261000,0.9,0,2,0.1,cumulative_ucb_cv,90,56105.74008689332,48698.32199180964,15.210828201286898
20261000,0.9,0,2,0.1,cumulative_ucb_cv,100,62127.58469693523,54786.56721503606,13.399301790685003
20261000,0.9,0,2,0.1,cumulative_ucb_cv,110,68869.96062651806,60070.37660035194,14.648791174907604
20261000,0.9,0,2,0.1,cumulative_ucb_cv,120,75123.49936026265,65153.666764708236,15.30202840549071
20261000,0.9,0,2,0.1,cumulative_ucb_cv,130,81813.71703126603,70555.26478981985,15.956927204489247
20261000,0.9,0,2,0.1,cumulative_ucb_cv,140,88546.55320129794,75551.68731487216,17.199967794587923
20261000,0.9,0,2,0.1,cumulative_ucb_cv,150,94749.44816175185,80376.84785088737,17.881517744423213
20261000,0.9,0,2,0.1,cumulative_ucb_cv,160,100490.65937591139,85748.89038919749,17.19178979436804
20261000,0.9,0,2,0.1,cumulative_ucb_cv,170,106091.1866058388,90833.29444650892,16.797686632752406
20261000,0.9,0,2,0.1,cumulative_ucb_cv,180,112532.87034488757,95744.00143278057,17.535165295858302
20261000,0.9,0,2,0.1,cumulative_ucb_cv,190,117430.06887528412,101179.1391984701,16.061541742252473
20261000,0.9,0,2,0.1,cumulative_ucb_cv,200,122818.43739380929,106389.3439100153,15.442423912013027
20261000,0.9,0,2,0.1,cumulative_ucb_cv,210,127815.95206081252,111645.48779007341,14.483759792553696
20261000,0.9,0,2,0.1,cumulative_ucb_cv,220,133227.71286574585,116723.4881444606,14.139591768247284
20261000,0.9,0,2,0.1,cumulative_ucb_cv,230,138815.78938719258,121892.01171267632,13.88423854584413
20261000,0.9,0,2,0.1,cumulative_ucb_cv,240,144727.69717089605,127097.7029420448,13.871213893527523
20261000,0.9,0,2,0.1,cumulative_ucb_cv,250,149974.2473670213,131511.06542980028,14.039261165499827
20261000,0.9,0,2,0.1,cumulative_ucb_cv,260,154940.76197851155,136414.37007768627,13.580967965673075
20261000,0.9,0,2,0.1,cumulative_ucb_cv,270,160537.93156053885,141421.32641044335,13.51748398584094
20261000,0.9,0,2,0.1,cumulative_ucb_cv,280,166152.99470183245,147049.21073802738,12.99142230544783
20261000,0.9,0,2,0.1,cumulative_ucb_cv,290,172326.47466896754,152179.28655001926,13.23911326941738
20261000,0.9,0,2,0.1,cumulative_ucb_cv,300,178163.6110663184,157102.18071399056,13.40619860055976
20261000,0.9,0,2,0.1,cumulative_ucb_cv,310,183046.37584724795,162465.78485853897,12.667646302653047
20261000,0.9,0,2,0.1,cumulative_ucb_cv,320,188605.5819966643,168175.8791346345,12.14781986997946
20261000,0.9,0,2,0.1,cumulative_ucb_cv,330,194139.160418151,172967.92510984838,12.239977611373432
20261000,0.9,0,2,0.1,cumulative_ucb_cv,340,199582.59042320843,177852.5951988488,12.21798040116553
20261000,0.9,0,2,0.1,cumulative_ucb_cv,350,205160.44719595736,183572.88659134324,11.759667239242578
20261000,0.9,0,2,0.1,cumulative_ucb_cv,360,210191.11576728677,189692.63460753293,10.806155548508478
20261000,0.9,0,2,0.1,cumulative_ucb_cv,370,214989.85577370395,195089.6318318767,10.200554357997227
20261000,0.9,0,2,0.1,cumulative_ucb_cv,380,220598.2678854124,200312.72762691136,10.126935267080729
20261000,0.9,0,2,0.1,cumulative_ucb_cv,390,226307.86722803133,205894.1893447662,9.914644967995079
20261000,0.9,0,2,0.1,cumulative_ucb_cv,400,231910.70726842355,211604.44789167374,9.59632917883897
20261000,0.9,0,2,0.1,sco_reset_ucb,10,7698.283318777932,5776.269533443728,33.27430920953456
20261000,0.9,0,2,0.1,sco_reset_ucb,20,14704.124362392167,11139.382165878487,32.00125593529768
20261000,0.9,0,2,0.1,sco_reset_ucb,30,21099.48463403195,16562.878437689775,27.390204024071487
20261000,0.9,0,2,0.1,sco_reset_ucb,40,27444.971691230257,21423.58435967127,28.10634873449991
20261000,0.9,0,2,0.1,sco_reset_ucb,50,33393.66033676359,27048.642118475433,23.45780682999323
20261000,0.9,0,2,0.1,sco_reset_ucb,60,38684.52389361302,32269.616732663144,19.879093123708348
20261000,0.9,0,2,0.1,sco_reset_ucb,70,44122.45283167662,37656.906676331826,17.16961568542361
20261000,0.9,0,2,0.1,sco_reset_ucb,80,49001.59502802565,42582.61011144775,15.074193197124487
20261000,0.9,0,2,0.1,sco_reset_ucb,90,55252.57092449369,48698.32199180964,13.458880439014687
20261000,0.9,0,2,0.1,sco_reset_ucb,100,60891.41924498504,54786.56721503606,11.14297233843391
20261000,0.9,0,2,0.1,sco_reset_ucb,110,67162.49220223307,60070.37660035194,11.806344496664224
20261000,0.9,0,2,0.1,sco_reset_ucb,120,73033.32672663213,65153.666764708236,12.093962401809243
20261000,0.9,0,2,0.1,sco_reset_ucb,130,79367.60784150971,70555.26478981985,12.489986506239248
20261000,0.9,0,2,0.1,sco_reset_ucb,140,84837.45297894007,75551.68731487216,12.290613213399437
20261000,0.9,0,2,0.1,sco_reset_ucb,150,90573.199395175,80376.84785088737,12.68568227906075
20261000,0.9,0,2,0.1,sco_reset_ucb,160,96590.30833797288,85748.89038919749,12.643216605565755
20261000,0.9,0,2,0.1,sco_reset_ucb,170,102515.7175261965,90833.29444650892,12.861388713108134
20261000,0.9,0,2,0.1,sco_reset_ucb,180,107641.39182118006,95744.00143278057,12.426251473051654
20261000,0.9,0,2,0.1,sco_reset_ucb,190,112397.08938193988,101179.1391984701,11.087216468075468
20261000,0.9,0,2,0.1,sco_reset_ucb,200,117613.59132332432,106389.3439100153,10.550161323301843
20261000,0.9,0,2,0.1,sco_reset_ucb,210,122473.91127101793,111645.48779007341,9.698935169959721
20261000,0.9,0,2,0.1,sco_reset_ucb,220,127070.68449133035,116723.4881444606,8.864707961831764
20261000,0.9,0,2,0.1,sco_reset_ucb,230,132547.27950564562,121892.01171267632,8.74156365397094
20261000,0.9,0,2,0.1,sco_reset_ucb,240,137662.71642268728,127097.7029420448,8.31251331541376
20261000,0.9,0,2,0.1,sco_reset_ucb,250,143516.4605440541,131511.06542980028,9.128809864795917
20261000,0.9,0,2,0.1,sco_reset_ucb,260,148979.2311258019,136414.37007768627,9.21080458089576
20261000,0.9,0,2,0.1,sco_reset_ucb,270,154158.11030127044,141421.32641044335,9.006268159203557
20261000,0.9,0,2,0.1,sco_reset_ucb,280,160120.31736166193,147049.21073802738,8.888933546825427
20261000,0.9,0,2,0.1,sco_reset_ucb,290,165525.23001103045,152179.28655001926,8.769881738553531
20261000,0.9,0,2,0.1,sco_reset_ucb,300,170889.88378307092,157102.18071399056,8.776264598249783
20261000,0.9,0,2,0.1,sco_reset_ucb,310,175767.22328271606,162465.78485853897,8.187224427444107
20261000,0.9,0,2,0.1,sco_reset_ucb,320,180710.6262937434,168175.8791346345,7.453356107669951
20261000,0.9,0,2,0.1,sco_reset_ucb,330,186071.4614143916,172967.92510984838,7.575703007491974
20261000,0.9,0,2,0.1,sco_reset_ucb,340,191320.63384980735,177852.5951988488,7.572584834030982
20261000,0.9,0,2,0.1,sco_reset_ucb,350,196298.98955780262,183572.88659134324,6.932452391397703
20261000,0.9,0,2,0.1,sco_reset_ucb,360,201366.53177139885,189692.63460753293,6.154111986487387
20261000,0.9,0,2,0.1,sco_reset_ucb,370,206558.04788454843,195089.6318318767,5.878536929402234
20261000,0.9,0,2,0.1,sco_reset_ucb,380,211332.96532417854,200312.72762691136,5.501516467686818
20261000,0.9,0,2,0.1,sco_reset_ucb,390,217337.9314657001,205894.1893447662,5.558069490621498
20261000,0.9,0,2,0.1,sco_reset_ucb,400,222987.8106298751,211604.44789167374,5.3795479497807275
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,10,7359.7796897110165,5776.269533443728,27.414062780467653
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,20,14846.51260799687,11139.382165878487,33.279497793637525
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,30,22280.29307540079,16562.878437689775,34.519450584752896
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,40,27758.347004241412,21423.58435967127,29.56910728951121
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,50,33396.08902376614,27048.642118475433,23.4667857909034
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,60,39468.09635017769,32269.616732663144,22.307298153399778
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,70,44023.49606888764,37656.906676331826,16.906830524551154
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,80,49859.33141981707,42582.61011144775,17.08848116478674
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,90,55938.430824045194,48698.32199180964,14.867265515746597
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,100,61826.63818494063,54786.56721503606,12.849994675286824
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,110,69141.88245989192,60070.37660035194,15.10146327180979
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,120,75424.51724669148,65153.666764708236,15.764040601236973
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,130,81089.96547684204,70555.26478981985,14.93113337240597
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,140,86842.1329637325,75551.68731487216,14.944001980797372
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,150,92504.3049100781,80376.84785088737,15.088246657407133
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,160,98712.9967149756,85748.89038919749,15.11868697884784
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,170,104728.96615319484,90833.29444650892,15.297993749273253
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,180,110318.89311397367,95744.00143278057,15.222772667826877
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,190,115382.48931854428,101179.1391984701,14.037824627281402
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,200,119980.60723954566,106389.3439100153,12.775023164938325
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,210,126066.4897486055,111645.48779007341,12.916779929026646
20261000,0.9,0,2,0.1,ps_forced_reset_ucb,220,130833.16924510707,116723.4881444606,12.088124956635893
