family,success_probability,delay_slots,capacity,capacity_ratio,frozen_inflight_beta,seeds,sco_post_cost_mean,sco_post_cost_ci_low,sco_post_cost_ci_high,pipeline_post_cost_mean,pipeline_post_cost_ci_low,pipeline_post_cost_ci_high,pipeline_reduction_vs_sco_pct_mean,pipeline_reduction_vs_sco_pct_ci_low,pipeline_reduction_vs_sco_pct_ci_high,sco_redundant_attempt_rate_mean,sco_redundant_attempt_rate_ci_low,sco_redundant_attempt_rate_ci_high,pipeline_redundant_attempt_rate_mean,pipeline_redundant_attempt_rate_ci_low,pipeline_redundant_attempt_rate_ci_high,redundant_attempt_reduction_mean,redundant_attempt_reduction_ci_low,redundant_attempt_reduction_ci_high,sco_calendar_delay_mean,sco_calendar_delay_ci_low,sco_calendar_delay_ci_high,pipeline_calendar_delay_mean,pipeline_calendar_delay_ci_low,pipeline_calendar_delay_ci_high
delay,0.9,0,4,0.2,16.0,12,112.07735178141554,106.39614538036422,117.75855818246687,112.07735178141554,106.39614538036422,117.75855818246687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.31966765287557,40.171717064908954,42.46761824084219,41.31966765287557,40.171717064908954,42.46761824084219
delay,0.9,1,4,0.2,16.0,12,469.08578002395285,443.66058458765065,494.51097546025505,196.35986317781976,185.42239324303617,207.29733311260335,58.149014866389415,57.983282503721114,58.314747229057716,0.5220833333333333,0.5214745178689039,0.5226921487977628,0.002779947916666667,0.002435244852044343,0.003124650981288991,0.5193033854166667,0.518676422771645,0.5199303480616883,41.598933283127444,40.81781263624087,42.380053930014014,41.89856366146689,41.211262329265594,42.58586499366818
delay,0.9,3,4,0.2,16.0,12,2534.9310898969416,2391.9206955098734,2677.9414842840097,527.1399588599536,494.14243761504383,560.1374801048634,79.22218344868404,79.02652968393707,79.417837213431,0.7527604166666667,0.7525255039837563,0.7529953293495771,0.10986979166666667,0.10576165087714548,0.11397793245618787,0.642890625,0.6387298254316408,0.6470514245683593,42.11033009634783,41.1315894270445,43.08907076565116,43.63563394335878,42.639419488774465,44.6318483979431
delay,0.9,5,4,0.2,16.0,12,7500.814222696573,7081.192353616102,7920.436091777044,1158.17457550654,1085.9324914468539,1230.416659566226,84.57270571722613,84.41404205365014,84.73136938080212,0.8327864583333334,0.8324930444143979,0.833079872252269,0.4403059895833333,0.4346934274525217,0.44591855171414485,0.39248046875000003,0.3868637726997106,0.39809716480028945,48.47611438028193,47.50889646320022,49.44333229736363,46.45498732301717,45.25305985583124,47.6569147902031
capacity,0.9,1,2,0.1,16.0,12,2753.752612596061,2600.5926842733297,2906.9125409187927,741.1492792533901,698.5094579032412,783.7891006035389,73.09082404591273,72.86123818211082,73.32040990971463,0.5169921875,0.5163783838447472,0.5176059911552527,0.0,0.0,0.0,0.5169921875,0.5163783838447472,0.5176059911552527,79.79340580319506,77.4699218184437,82.11688978794642,80.70697889808267,79.32921712288037,82.08474067328497
capacity,0.9,1,4,0.2,16.0,12,469.08578002395285,443.66058458765065,494.51097546025505,196.35986317781976,185.42239324303617,207.29733311260335,58.149014866389415,57.983282503721114,58.314747229057716,0.5220833333333333,0.5214745178689039,0.5226921487977628,0.002779947916666667,0.002435244852044343,0.003124650981288991,0.5193033854166667,0.518676422771645,0.5199303480616883,41.598933283127444,40.81781263624087,42.380053930014014,41.89856366146689,41.211262329265594,42.58586499366818
capacity,0.9,1,8,0.4,16.0,12,112.24473638033464,106.5513771460367,117.93809561463259,84.66189105017331,80.22604685043967,89.09773524990695,24.589826649189646,24.346666710724286,24.832986587655007,0.5323307291666667,0.530343959821337,0.5343174985119964,0.056435546875,0.05451229284350315,0.058358800906496845,0.4758951822916668,0.474562518250225,0.47722784633310855,21.73232435764457,21.161596451990345,22.30305226329879,22.186281619127083,21.34276449104478,23.029798747209387
