seed,scale,B,K,N,H,n0,block_length,physical_joint_coverage,index_joint_coverage,certificate_rate,certificate_error_rate,mismatch_rate,mean_normalized_interval_width,certified_count,wrong_certified_count,wrong_certified_on_index_coverage
20260907,1.0,4,20,4,800,8,64,0.0,0.0,0.154375,0.1862348178137652,0.6075,0.4831820320473058,494,92,0
20260907,2.0,4,20,4,800,8,64,0.0259375,0.7028125,0.0440625,0.0,0.6784375,0.9242112543779842,141,0,0
20260907,3.0,4,20,4,800,8,64,0.8946875,0.9903125,0.016875,0.0,0.763125,1.3099019426100567,54,0,0
20260907,4.0,4,20,4,800,8,64,0.96625,1.0,0.008125,0.0,0.8209375,1.6693347259487457,26,0,0
20260907,6.0,4,20,4,800,8,64,1.0,1.0,0.00125,0.0,0.853125,2.3236791398831467,4,0,0
20260908,0.5,4,20,4,800,8,64,0.0,0.0,0.359375,0.32869565217391306,0.573125,0.2396189828296567,1150,378,0
20260908,1.0,4,20,4,800,8,64,0.0,0.0,0.1675,0.15298507462686567,0.59375,0.46061152914782527,536,82,0
20260908,2.0,4,20,4,800,8,64,0.1965625,0.4896875,0.055,0.011363636363636364,0.6640625,0.8777547726331574,176,2,0
20260908,3.0,4,20,4,800,8,64,0.775,0.95875,0.0259375,0.0,0.7325,1.2373647176425617,83,0,0
20260908,4.0,4,20,4,800,8,64,0.986875,1.0,0.0128125,0.0,0.7875,1.5608430547104346,41,0,0
20260908,6.0,4,20,4,800,8,64,0.9978125,1.0,0.00375,0.0,0.831875,2.1542163893926314,12,0,0
20260909,0.5,4,20,4,800,8,64,0.0,0.0,0.3871875,0.27602905569007263,0.5403125,0.25046600518103435,1239,342,0
20260909,1.0,4,20,4,800,8,64,0.0,0.0,0.2278125,0.13443072702331962,0.57625,0.47349213623559405,729,98,0
20260909,2.0,4,20,4,800,8,64,0.124375,0.464375,0.1053125,0.005934718100890208,0.6190625,0.8525184006765056,337,2,0
20260909,3.0,4,20,4,800,8,64,0.7840625,0.95375,0.05,0.0,0.6734375,1.1705246195279142,160,0,0
20260909,4.0,4,20,4,800,8,64,0.9846875,1.0,0.0253125,0.0,0.7203125,1.460923783830345,81,0,0
20260909,6.0,4,20,4,800,8,64,0.9996875,1.0,0.0075,0.0,0.7771875,1.9982484305492119,24,0,0
20260910,0.5,4,20,4,800,8,64,0.0,0.0,0.460625,0.17096336499321574,0.4259375,0.1812260700009138,1474,252,0
20260910,1.0,4,20,4,800,8,64,0.0,0.0,0.2571875,0.03645200486026731,0.4809375,0.36879724372184464,823,30,0
20260910,2.0,4,20,4,800,8,64,0.1678125,0.754375,0.1128125,0.0,0.5925,0.7132786969664149,361,0,0
20260910,3.0,4,20,4,800,8,64,0.924375,0.991875,0.0621875,0.0,0.6521875,1.0077892892968683,199,0,0
20260910,4.0,4,20,4,800,8,64,0.994375,0.9990625,0.0375,0.0,0.6821875,1.273577354721126,120,0,0
20260910,6.0,4,20,4,800,8,64,1.0,1.0,0.01125,0.0,0.74,1.7606190532091464,36,0,0
20260911,0.5,4,20,4,800,8,64,0.0,0.0,0.444375,0.41631504922644164,0.55625,0.1828132544215719,1422,592,0
20260911,1.0,4,20,4,800,8,64,0.0,0.0,0.228125,0.27534246575342464,0.5675,0.3554489329883932,730,201,0
20260911,2.0,4,20,4,800,8,64,0.0821875,0.4171875,0.064375,0.03398058252427184,0.595,0.7284795613984073,206,7,0
20260911,3.0,4,20,4,800,8,64,0.918125,0.955,0.03125,0.0,0.684375,1.07953817214675,100,0,0
20260911,4.0,4,20,4,800,8,64,0.9740625,0.98,0.014375,0.0,0.7528125,1.3954205993564823,46,0,0
20260911,6.0,4,20,4,800,8,64,1.0,1.0,0.005625,0.0,0.80125,1.9713971855250703,18,0,0
