seed,profile,he_post_cost,sco_post_cost,pa_post_cost,pa_reduction_vs_he_pct,sco_reduction_vs_he_pct
20266000,fixed,482.3473175418254,3429.5205630529936,414.21307058935815,14.12555734728621,-611.0064549608721
20266000,light_iid,613.0632855682663,2691.9307605293147,446.5650722982279,27.15840553324056,-339.095085923158
20266000,heavy_iid,1857.451582091865,1217.5965521223984,464.57215911196175,74.98873383344076,34.44800586666495
20266000,lognormal,9825.0696035806,1740.1450314940578,537.7598252149297,94.52665633005846,82.28872566093692
20266000,markov_burst,1311.27318864616,2058.021093111585,474.95699804063065,63.77894384228157,-56.948308783497204
20266000,forward_heavy,1449.6184614634158,1981.045493852258,447.7229313506889,69.11442953763816,-36.659786455282664
20266000,feedback_heavy,943.0327249681595,2300.6644022025416,463.81518167324526,50.8166398266926,-143.96442894176562
20266001,fixed,456.53009881214166,3389.962322057904,424.22340250390613,7.076575321604254,-642.5495779748895
20266001,light_iid,583.2986104302967,2751.7019819624556,446.46382220836426,23.45878865046327,-371.7484205787046
20266001,heavy_iid,1809.6405847115882,1231.3188842766208,471.3794957543321,73.95176148586111,31.95782109004466
20266001,lognormal,9265.660223751984,1830.3211946252989,560.3470493812456,93.9524325752327,80.24618699125858
20266001,markov_burst,1252.1157457297413,2104.9540159458384,520.4992651160134,58.43041932096597,-68.11177585815418
20266001,forward_heavy,1318.8470284254752,1956.521899214555,452.1963956143576,65.7127486457456,-48.35093510051559
20266001,feedback_heavy,985.2715888503833,2285.029043912429,448.8646748622683,54.44254356445978,-131.91869833358388
20266002,fixed,574.1135352007764,4025.391691572252,509.0655757095448,11.330156058502135,-601.149066301757
20266002,light_iid,728.2971489148608,3130.419752690083,524.5699587094309,27.973086330075137,-329.8272700029524
20266002,heavy_iid,2191.5513769799386,1468.2587858215436,552.7376074491524,74.77870638785338,33.00367943712669
20266002,lognormal,10152.943230300363,2120.7667455545034,642.651733365198,93.67029127625501,79.11180337121058
20266002,markov_burst,1528.0961070589233,2338.5123802344433,592.591425316548,61.22027779672252,-53.03437849438029
20266002,forward_heavy,1484.5932610019706,2293.8914238543184,535.0282454358602,63.96129098183007,-54.51312383744368
20266002,feedback_heavy,1275.0948727344896,2728.106867993908,546.2445377485474,57.16047884522467,-113.95324585874765
20266003,fixed,419.89259500200023,2939.920117537206,369.31604463578026,12.045116053065678,-600.1600296197653
20266003,light_iid,525.8655134158153,2390.9006039251412,388.5887183678289,26.10492446182492,-354.6600875944103
20266003,heavy_iid,1499.1200365466009,1079.8436999613446,401.99392117904824,73.1846742502963,27.968163079929788
20266003,lognormal,6150.149860986196,1531.375763333078,476.63431470223213,92.25003738972626,75.10018783367472
20266003,markov_burst,1096.3773778454176,1776.099192532337,433.098533728357,60.49731210438919,-61.99706674199144
20266003,forward_heavy,1060.9714622911765,1699.0748320485354,394.3492040589115,62.83130903376881,-60.14331133651507
20266003,feedback_heavy,862.8486797511973,1993.4124049944046,391.19918722726266,54.66190116440057,-131.0268824389006
20266004,fixed,502.0753715147433,3341.9471081887286,422.0733286369183,15.934269517435549,-565.6265767640015
20266004,light_iid,633.4443997632925,2700.9662898444535,437.6188277121189,30.914405767001856,-326.39358574387256
20266004,heavy_iid,1802.993296970192,1260.7477575635821,469.34071257486585,73.96880435642434,30.074739618711657
20266004,lognormal,12202.960635093365,1702.848034690963,542.3977653185285,95.55519532072654,86.0456156041846
20266004,markov_burst,1294.8736382858513,1939.6445751031788,474.14577327918084,63.382853796695315,-49.794120271911076
20266004,forward_heavy,1333.6296902780643,1921.772377016858,460.08522515297875,65.50127606584327,-44.100899299577286
20266004,feedback_heavy,1073.3220013042926,2320.3940784142737,463.29827259327175,56.8351089393234,-116.18806617161941
20266005,fixed,456.24070842155004,3615.6452324463085,427.908516858867,6.209921876700466,-692.486326999471
20266005,light_iid,602.367383727127,2956.431558307717,450.68324347292116,25.181333576805834,-390.8020650146926
20266005,heavy_iid,1901.3512395867024,1306.9854636934565,469.4509970310871,75.30961206656735,31.260177684079217
20266005,lognormal,6224.032883759759,1789.5891804042915,546.0803114417556,91.22626243080059,71.2471123815263
20266005,markov_burst,1354.0900450446934,2160.023794777309,475.6706516208182,64.87156423891159,-59.51847535412718
20266005,forward_heavy,1427.8800521994733,2035.8091718886885,460.59588835371716,67.74267644931199,-42.57564343396879
20266005,feedback_heavy,1046.7404405407933,2394.0460524741356,456.9614421111469,56.3443405439595,-128.7143937266113
20266006,fixed,464.89776599252497,3478.3751809448236,434.05140511493175,6.635084772183911,-648.2021716148131
20266006,light_iid,578.4367049932127,2724.502882334219,446.1720876692088,22.865875588852184,-371.0114103782864
20266006,heavy_iid,1642.9819541550914,1239.5516359723947,470.11564048538924,71.38643919390171,24.554762586553302
20266006,lognormal,6976.175623230203,1819.1994098869022,535.2866185043508,92.32693315916701,73.92268331334596
20266006,markov_burst,1429.6397378501738,2213.7469250874365,527.9250909952577,63.07285835597106,-54.846487998183854
20266006,forward_heavy,1316.2371071170207,1970.0214447076028,473.90119174016013,63.99575812156254,-49.670711610811395
20266006,feedback_heavy,943.1723711271029,2302.831551276371,450.8328435454322,52.20037637376069,-144.15807987721885
20266007,fixed,540.0250016644527,4181.883776270505,487.0169901697794,9.815843957463683,-674.3870678915233
20266007,light_iid,719.4952898616286,3338.846090195614,511.6235275153676,28.89133053063327,-364.05391907954424
20266007,heavy_iid,2072.21368357334,1471.0773708060003,528.1576461082295,74.51239462923192,29.009378595103954
20266007,lognormal,10278.788153238478,2106.359096876081,621.6316836582904,93.95228625796284,79.50770980514427
20266007,markov_burst,1363.4598870725772,2411.1349615742797,564.9817995517526,58.5626387025731,-76.83944972896255
20266007,forward_heavy,1436.8458198151873,2333.082103890192,515.3766384492183,64.13138895337372,-62.37525778446305
20266007,feedback_heavy,1108.051952199629,2740.6146849299494,520.5802197447892,53.01842853926038,-147.33629858144
20266008,fixed,407.1447906493962,2859.3937592052307,361.4821991000804,11.215320101844844,-602.3039038874833
20266008,light_iid,489.39575899167534,2384.9010217504238,376.5275270752053,23.062772785162192,-387.3154247728148
20266008,heavy_iid,1274.4584836403337,1061.5685026345093,392.5371828467151,69.19968850413386,16.70434806143943
20266008,lognormal,5873.289826758855,1472.629483391581,448.0457628580665,92.37146852830661,74.9266675606192
20266008,markov_burst,1191.2923107181514,1786.6508862011601,431.3067331811999,63.7950543875169,-49.975859839480236
20266008,forward_heavy,1047.8732538346296,1681.4116491392847,379.71669845683283,63.76310807940921,-60.45944898261876
20266008,feedback_heavy,769.1278040312123,1974.2589131122709,380.7826517244557,50.49162834464336,-156.68801761744044
20266009,fixed,519.2659647799853,4127.254222410045,491.20584933548906,5.403804090334598,-694.8247145677603
20266009,light_iid,659.4037980618626,3376.4049134529832,509.0408778057931,22.80285929471748,-412.0390454797202
20266009,heavy_iid,2155.1101867530206,1470.977242676861,557.1078142591543,74.14945102651497,31.74468518043168
20266009,lognormal,8371.903107919356,2080.942483961519,624.295543908964,92.54296740106304,75.14373426045671
20266009,markov_burst,1866.3795251863871,2573.114969827709,593.775588710381,68.18569960195619,-37.86665225931169
20266009,forward_heavy,1658.882560527742,2353.7453155919256,541.9288439135466,67.33169322479692,-41.88739887910607
20266009,feedback_heavy,1074.8968139620767,2695.5979049213947,517.3868677867022,51.86636883966464,-150.7773648509947
20266010,fixed,434.1122539055568,3241.78509955634,393.2751493364927,9.40703797270566,-646.761942421834
20266010,light_iid,556.3989173794084,2550.2496157643072,412.3472972461527,25.889989292525332,-358.34913334766463
20266010,heavy_iid,1693.0686750954142,1177.25169381577,435.35362204172316,74.28612149963801,30.466394474552242
20266010,lognormal,7033.452844376452,1645.3120404591573,494.7966411267182,92.96509620417332,76.60733530367443
20266010,markov_burst,1465.317313523936,2086.830227154882,492.87298013937067,66.36407857939915,-42.414902758247756
20266010,forward_heavy,1234.2274028434458,1899.5091341039672,430.1559835530299,65.14775295362708,-53.9026867923875
20266010,feedback_heavy,861.4116860606927,2184.5805943916057,409.48085459389597,52.46397730375751,-153.60470838071333
20266011,fixed,413.62051319481947,3206.2083998532407,378.4608380752951,8.500466973446212,-675.1570092808922
20266011,light_iid,518.6604457820431,2577.8940652590854,408.0368636510277,21.32870995477893,-397.0292387290306
20266011,heavy_iid,1741.7763343166534,1150.2864376846733,430.02068421887776,75.31137174466281,33.95900409130532
20266011,lognormal,8863.059036502458,1569.0388783063795,501.52787286515945,94.34136824769395,82.29686982965698
20266011,markov_burst,1142.759083426546,1946.1698579386098,455.07707396160345,60.177339164344104,-70.30447503449707
20266011,forward_heavy,1184.9457767690137,1841.9255169706419,410.71269862376084,65.33911452525285,-55.4438652874912
20266011,feedback_heavy,878.9831434001472,2149.521209544,414.3901551707097,52.85573355050528,-144.54635173423966
