seed,profile,method,inflight_beta,forward_mean,feedback_mean,round_trip_mean,round_trip_p95,round_trip_p99,round_trip_max,post_cost,total_cost,delivery_rate,ack_rate,redundant_attempt_rate,stale_arrival_rate,mean_inflight_per_slot,max_inflight_count,detected_fraction,calendar_delay,observation_delay
20266000,fixed,true,,2.0,2.0,4.0,4.0,4.0,4,1211.1542432288109,1191.2234652080238,0.897421875,0.995,0.672890625,0.0,19.95,5,nan,nan,nan
20266000,fixed,sco,,2.0,2.0,4.0,4.0,4.0,4,3429.5205630529936,3389.0647411945347,0.8975,0.995,0.800390625,0.0,19.95,5,0.9230769230769231,44.47222222222222,7.416666666666667
20266000,fixed,forced,,2.0,2.0,4.0,4.0,4.0,4,3172.22690827481,3166.158788472995,0.89765625,0.995,0.790390625,0.0,19.95,5,0.9487179487179487,44.4054054054054,7.378378378378378
20266000,fixed,pa16,16.0,2.0,2.0,4.0,4.0,4.0,4,414.21307058935815,427.34987387434876,0.89890625,0.995,0.2771875,0.0,19.95,5,0.9230769230769231,45.611111111111114,7.444444444444445
20266000,fixed,stopwait,1000000.0,2.0,2.0,4.0,4.0,4.0,4,482.8029007787802,504.4709668317399,0.898046875,0.995,0.0,0.0,19.95,1,0.9743589743589743,43.23684210526316,7.447368421052632
20266000,light_iid,true,,1.9996596534653466,1.9999690594059405,3.9996287128712873,6.0,6.0,6,1051.1900962469267,1040.4638057626214,0.71046875,0.995,0.651015625,0.08501566306996171,19.8884375,6,nan,nan,nan
20266000,light_iid,sco,,1.9996596534653466,1.9999690594059405,3.9996287128712873,6.0,6.0,6,2691.9307605293147,2701.5557886620795,0.68109375,0.994765625,0.7803125,0.11068602730197374,19.8815625,7,0.9743589743589743,45.86842105263158,7.657894736842105
20266000,light_iid,forced,,1.9996596534653466,1.9999690594059405,3.9996287128712873,6.0,6.0,6,2592.198833956366,2587.1766914512114,0.684296875,0.995078125,0.77234375,0.11012526096033402,19.879375,7,0.9230769230769231,54.083333333333336,9.083333333333334
20266000,light_iid,pa16,16.0,1.9996596534653466,1.9999690594059405,3.9996287128712873,6.0,6.0,6,446.5650722982279,455.3422661804397,0.8640625,0.99515625,0.33125,0.017824536996782887,19.880625,7,0.9230769230769231,47.361111111111114,7.694444444444445
20266000,light_iid,stopwait,1000000.0,1.9996596534653466,1.9999690594059405,3.9996287128712873,6.0,6.0,6,510.7172833161835,532.3165283540033,0.89265625,0.995,0.09015625,0.0038254216657972527,19.900625,4,0.9743589743589743,45.68421052631579,7.578947368421052
20266000,heavy_iid,true,,1.9856126237623761,1.9924195544554455,3.9780321782178216,12.0,12.0,22,562.0900986038674,555.6771581636707,0.82140625,0.994609375,0.672890625,0.06642291285801341,19.8053125,6,nan,nan,nan
20266000,heavy_iid,sco,,1.9856126237623761,1.9924195544554455,3.9780321782178216,12.0,12.0,22,1217.5965521223984,1223.9090565213683,0.83265625,0.99484375,0.74375,0.06352797841789226,19.7446875,8,0.9743589743589743,47.28947368421053,7.815789473684211
20266000,heavy_iid,forced,,1.9856126237623761,1.9924195544554455,3.9780321782178216,12.0,12.0,22,1206.0650079169827,1199.0826557535559,0.83171875,0.99484375,0.74,0.06541974771639844,19.729375,8,0.8974358974358975,45.94285714285714,7.457142857142857
20266000,heavy_iid,pa16,16.0,1.9856126237623761,1.9924195544554455,3.9780321782178216,12.0,12.0,22,464.57215911196175,464.5617726672963,0.818359375,0.994921875,0.380859375,0.07321102512824972,19.756875,7,0.8461538461538461,46.90909090909091,7.484848484848484
20266000,heavy_iid,stopwait,1000000.0,1.9856126237623761,1.9924195544554455,3.9780321782178216,12.0,12.0,22,1214.6178936985516,1255.1825637925094,0.88171875,0.995234375,0.085,0.014774900052146706,19.755625,6,0.9487179487179487,44.432432432432435,7.4324324324324325
20266000,lognormal,true,,2.351144801980198,2.3365872524752476,4.687732054455446,14.0,34.0,123,723.5385781729001,713.6870234663945,0.757421875,0.9934375,0.702265625,0.0817374651810585,22.651875,8,nan,nan,nan
20266000,lognormal,sco,,2.351144801980198,2.3365872524752476,4.687732054455446,14.0,34.0,123,1740.1450314940578,1748.4745700653375,0.741171875,0.99390625,0.789140625,0.08690735102218355,22.7046875,10,0.9230769230769231,48.083333333333336,7.666666666666667
20266000,lognormal,forced,,2.351144801980198,2.3365872524752476,4.687732054455446,14.0,34.0,123,1639.4566664460142,1670.5034579576024,0.743515625,0.994140625,0.784765625,0.08506007313250914,22.708125,10,0.9487179487179487,48.78378378378378,7.594594594594595
20266000,lognormal,pa16,16.0,2.351144801980198,2.3365872524752476,4.687732054455446,14.0,34.0,123,537.7598252149297,544.0777317319006,0.8146875,0.993984375,0.454765625,0.056159262801008435,22.693125,8,0.9230769230769231,47.611111111111114,7.638888888888889
20266000,lognormal,stopwait,1000000.0,2.351144801980198,2.3365872524752476,4.687732054455446,14.0,34.0,123,924.2098697610855,946.2180886134513,0.858671875,0.9934375,0.20875,0.029624466323952253,22.6015625,7,0.8974358974358975,43.82857142857143,7.685714285714286
20266000,markov_burst,true,,1.979115099009901,2.0099783415841586,3.9890934405940595,7.0,12.0,12,753.4558743276223,764.4743034456226,0.8184375,0.995,0.62234375,0.07262277951933124,20.203125,12,nan,nan,nan
20266000,markov_burst,sco,,1.979115099009901,2.0099783415841586,3.9890934405940595,7.0,12.0,12,2058.021093111585,2125.508302435668,0.818359375,0.993984375,0.755625,0.05815269435013493,20.18875,13,0.9743589743589743,52.28947368421053,7.447368421052632
20266000,markov_burst,forced,,1.979115099009901,2.0099783415841586,3.9890934405940595,7.0,12.0,12,1877.0177212290032,1981.3575830122345,0.820859375,0.994609375,0.745546875,0.05608695652173913,20.18,13,0.9743589743589743,50.0,7.684210526315789
20266000,markov_burst,pa16,16.0,1.979115099009901,2.0099783415841586,3.9890934405940595,7.0,12.0,12,474.95699804063065,492.0522519849831,0.865625,0.995078125,0.3275,0.021408058480549996,20.1771875,12,0.9487179487179487,47.513513513513516,7.378378378378378
20266000,markov_burst,stopwait,1000000.0,1.979115099009901,2.0099783415841586,3.9890934405940595,7.0,12.0,12,1051.365322793698,1102.6963872490965,0.8934375,0.994921875,0.0771875,0.003652809184205949,20.0,6,0.9743589743589743,46.0,7.368421052631579
20266000,forward_heavy,true,,1.9856126237623761,2.0,3.985612623762376,13.0,13.0,13,562.0900986038674,555.6771581636707,0.82140625,0.9946875,0.618828125,0.06642291285801341,19.8534375,6,nan,nan,nan
20266000,forward_heavy,sco,,1.9856126237623761,2.0,3.985612623762376,13.0,13.0,13,1981.045493852258,1950.4703963657203,0.8365625,0.995234375,0.769921875,0.06732191006349482,19.8121875,7,0.9230769230769231,45.388888888888886,7.527777777777778
20266000,forward_heavy,forced,,1.9856126237623761,2.0,3.985612623762376,13.0,13.0,13,1876.7043632694688,1837.9393689248282,0.834375,0.994921875,0.762265625,0.06749107376121223,19.81,7,0.9743589743589743,43.86842105263158,7.526315789473684
20266000,forward_heavy,pa16,16.0,1.9856126237623761,2.0,3.985612623762376,13.0,13.0,13,447.7229313506889,451.72680822727534,0.820625,0.9953125,0.3046875,0.07041641310962357,19.836875,7,0.9230769230769231,46.138888888888886,7.388888888888889
20266000,forward_heavy,stopwait,1000000.0,1.9856126237623761,2.0,3.985612623762376,13.0,13.0,13,971.307727587497,967.8591304580117,0.879765625,0.99515625,0.06328125,0.016001391425341335,19.875625,5,0.9743589743589743,46.5,7.5
20266000,feedback_heavy,true,,2.0,1.9924195544554455,3.9924195544554455,13.0,13.0,13,1211.1542432288109,1191.2234652080238,0.897421875,0.994765625,0.717265625,0.0,19.9178125,6,nan,nan,nan
20266000,feedback_heavy,sco,,2.0,1.9924195544554455,3.9924195544554455,13.0,13.0,13,2300.6644022025416,2296.688503872606,0.897890625,0.994921875,0.76984375,0.0,19.8778125,7,0.8974358974358975,44.51428571428571,7.514285714285714
20266000,feedback_heavy,forced,,2.0,1.9924195544554455,3.9924195544554455,13.0,13.0,13,2198.195669042244,2189.1959403760297,0.89765625,0.994765625,0.763359375,0.0,19.845625,7,0.9487179487179487,41.4054054054054,7.243243243243243
20266000,feedback_heavy,pa16,16.0,2.0,1.9924195544554455,3.9924195544554455,13.0,13.0,13,463.81518167324526,469.9738303726033,0.898359375,0.99515625,0.3071875,0.0,19.870625,7,0.9487179487179487,48.67567567567568,7.5675675675675675
20266000,feedback_heavy,stopwait,1000000.0,2.0,1.9924195544554455,3.9924195544554455,13.0,13.0,13,753.8023554950969,762.4916284857613,0.898359375,0.99515625,0.059296875,0.0,19.8346875,4,0.9487179487179487,44.62162162162162,7.486486486486487
20266001,fixed,true,,2.0,2.0,4.0,4.0,4.0,4,1169.0832517250542,1120.5794766366669,0.896484375,0.995,0.67328125,0.0,19.95,5,nan,nan,nan
20266001,fixed,sco,,2.0,2.0,4.0,4.0,4.0,4,3389.962322057904,3298.0239349156714,0.8946875,0.995,0.800859375,0.0,19.95,5,0.9666666666666667,45.172413793103445,7.517241379310345
20266001,fixed,forced,,2.0,2.0,4.0,4.0,4.0,4,3143.2671512050592,3070.305419684669,0.89453125,0.995,0.789921875,0.00043649061545176777,19.95,5,0.9666666666666667,45.689655172413794,7.551724137931035
20266001,fixed,pa16,16.0,2.0,2.0,4.0,4.0,4.0,4,424.22340250390613,425.05530349544404,0.895546875,0.995,0.262734375,0.0,19.95,5,0.9666666666666667,46.241379310344826,7.448275862068965
20266001,fixed,stopwait,1000000.0,2.0,2.0,4.0,4.0,4.0,4,455.8886848650325,479.7368498271295,0.896953125,0.995,0.0,0.0,19.95,1,0.9333333333333333,42.07142857142857,7.25
20266001,light_iid,true,,1.9997834158415841,1.9951113861386138,3.994894801980198,6.0,6.0,6,1024.6061336349412,980.6589846879463,0.702265625,0.99515625,0.6528125,0.08857890148212728,19.958125,6,nan,nan,nan
20266001,light_iid,sco,,1.9997834158415841,1.9951113861386138,3.994894801980198,6.0,6.0,6,2751.7019819624556,2645.066074934115,0.679296875,0.995078125,0.781328125,0.11581427823354862,19.9765625,7,1.0,46.233333333333334,7.6
