family,success_probability,delay_slots,capacity,capacity_ratio,method,frozen_inflight_beta,seeds,post_cost_mean,post_cost_ci_low,post_cost_ci_high,total_cost_mean,total_cost_ci_low,total_cost_ci_high,post_ratio_to_reference_mean,post_ratio_to_reference_ci_low,post_ratio_to_reference_ci_high,total_ratio_to_reference_mean,total_ratio_to_reference_ci_low,total_ratio_to_reference_ci_high,delivery_rate_mean,delivery_rate_ci_low,delivery_rate_ci_high,redundant_attempt_rate_mean,redundant_attempt_rate_ci_low,redundant_attempt_rate_ci_high,max_inflight_count_mean,max_inflight_count_ci_low,max_inflight_count_ci_high,detected_fraction_mean,detected_fraction_ci_low,detected_fraction_ci_high,calendar_delay_mean,calendar_delay_ci_low,calendar_delay_ci_high,observation_delay_mean,observation_delay_ci_low,observation_delay_ci_high
delay,0.9,0,4,0.2,true,16.0,12,106.862075536948,101.07871712023412,112.64543395366188,114.71748230961775,109.45135832788287,119.98360629135263,1.0,1.0,1.0,1.0,1.0,1.0,0.9003125,0.8985491935812188,0.9020758064187812,0.0,0.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
delay,0.9,0,4,0.2,sco_reset_ucb,16.0,12,112.07735178141554,106.39614538036422,117.75855818246687,121.48273639032764,116.13039519342928,126.83507758722601,1.0494002874200632,1.0429330098198863,1.05586756502024,1.059283704593691,1.0527146301193455,1.0658527790680363,0.9004882812499999,0.8987002534119871,0.9022763090880127,0.0,0.0,0.0,1.0,1.0,1.0,0.9604001247271513,0.9391249857042772,0.9816752637500255,41.31966765287557,40.171717064908954,42.46761824084219,7.448901989526052,7.358301658319442,7.539502320732663
delay,0.9,0,4,0.2,ps_forced_reset_ucb,16.0,12,113.86429614530557,108.01104540283698,119.71754688777416,123.57129615570547,118.09027539360933,129.0523169178016,1.0660137946125825,1.060158368356556,1.071869220868609,1.0774563413255365,1.0710304019636825,1.0838822806873905,0.90048828125,0.8987341532248603,0.9022424092751398,0.0,0.0,0.0,1.0,1.0,1.0,0.9536582555507649,0.9277270231596606,0.9795894879418692,40.905546162303466,40.100706586408556,41.710385738198376,7.411197246734282,7.379047214607514,7.443347278861051
delay,0.9,0,4,0.2,inflight_sco_ucb,16.0,12,112.07735178141554,106.39614538036422,117.75855818246687,121.48273639032764,116.13039519342928,126.83507758722601,1.0494002874200632,1.0429330098198863,1.05586756502024,1.059283704593691,1.0527146301193455,1.0658527790680363,0.9004882812499999,0.8987002534119871,0.9022763090880127,0.0,0.0,0.0,1.0,1.0,1.0,0.9604001247271513,0.9391249857042772,0.9816752637500255,41.31966765287557,40.171717064908954,42.46761824084219,7.448901989526052,7.358301658319442,7.539502320732663
delay,0.9,1,4,0.2,true,16.0,12,439.22065084527276,413.81841987630514,464.6228818142404,464.83368933730344,442.30862801937775,487.35875065522913,1.0,1.0,1.0,1.0,1.0,1.0,0.8991796874999999,0.8972916945796211,0.9010676804203787,0.5207096354166667,0.5201294668516856,0.5212898039816478,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
delay,0.9,1,4,0.2,sco_reset_ucb,16.0,12,469.08578002395285,443.66058458765065,494.51097546025505,503.4492913823126,480.15147660561223,526.747106159013,1.0687526314897908,1.0600589801141158,1.0774462828654658,1.0835098749467635,1.075044932166992,1.0919748177265352,0.8994661458333334,0.8975458447627549,0.9013864469039119,0.5220833333333333,0.5214745178689039,0.5226921487977628,2.0,2.0,2.0,0.951019305233796,0.9263749224887519,0.9756636879788401,41.598933283127444,40.81781263624087,42.380053930014014,7.416023846003885,7.352598247382512,7.479449444625257
delay,0.9,1,4,0.2,ps_forced_reset_ucb,16.0,12,464.29454419757366,439.6999729784214,488.88911541672593,499.0288996311338,475.5881304901345,522.4696687721331,1.0580312764580855,1.048706443637064,1.067356109279107,1.0738935891177512,1.0648954665739256,1.0828917116615768,0.8994791666666667,0.8975847086683041,0.9013736246650293,0.5119075520833333,0.5111042352750182,0.5127108688916483,2.0,2.0,2.0,0.9515077933119541,0.9264494269789982,0.97656615964491,41.2252360005386,40.54427546509213,41.906196535985075,7.352286723161709,7.27809587988963,7.426477566433787
delay,0.9,1,4,0.2,inflight_sco_ucb,16.0,12,196.35986317781976,185.42239324303617,207.29733311260335,214.70217204561413,204.52413523132228,224.880208859906,0.4472826525147771,0.44326832896524093,0.4512969760643133,0.4620235715119671,0.45768286556470883,0.4663642774592254,0.8994596354166666,0.8976551589286776,0.9012641119046556,0.002779947916666667,0.002435244852044343,0.003124650981288991,2.0,2.0,2.0,0.9552634296788048,0.937250236863783,0.9732766224938267,41.89856366146689,41.211262329265594,42.58586499366818,7.400120851128915,7.3626911973674645,7.437550504890366
delay,0.9,3,4,0.2,true,16.0,12,2347.38146743632,2208.3280224051655,2486.434912467474,2443.229926057807,2318.607844791646,2567.852007323968,1.0,1.0,1.0,1.0,1.0,1.0,0.8970442708333336,0.8951520175574873,0.8989365241091799,0.7515559895833334,0.7512588907695904,0.7518530883970763,4.0,4.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
delay,0.9,3,4,0.2,sco_reset_ucb,16.0,12,2534.9310898969416,2391.9206955098734,2677.9414842840097,2694.1458866723847,2562.945094476927,2825.3466788678425,1.0805150131204797,1.0733870243407473,1.0876430019002121,1.1031910649457608,1.0939312542940136,1.112450875597508,0.8970963541666667,0.895170049879777,0.8990226584535563,0.7527604166666667,0.7525255039837563,0.7529953293495771,4.0,4.0,4.0,0.9651612677258302,0.945579508487477,0.9847430269641835,42.11033009634783,41.1315894270445,43.08907076565116,7.387827887284321,7.314063986244332,7.46159178832431
