success_probability,delay_slots,capacity,capacity_ratio,method,post_change_slot,independent_seeds,cumulative_excess_pct_mean,cumulative_excess_pct_ci_low,cumulative_excess_pct_ci_high
0.9,0,2,0.1,cumulative_ucb_cv,10,12,25.301213213865935,14.44166281587697,36.160763611854904
0.9,0,2,0.1,cumulative_ucb_cv,20,12,29.29235497955156,21.246511296397195,37.33819866270593
0.9,0,2,0.1,cumulative_ucb_cv,30,12,28.34663509877713,23.301139772420754,33.39213042513351
0.9,0,2,0.1,cumulative_ucb_cv,40,12,26.022829346266278,21.29689049752872,30.748768195003834
0.9,0,2,0.1,cumulative_ucb_cv,50,12,24.294781882535137,20.448320522566416,28.141243242503858
0.9,0,2,0.1,cumulative_ucb_cv,60,12,23.487546165968435,20.423730041110847,26.551362290826024
0.9,0,2,0.1,cumulative_ucb_cv,70,12,22.348223924448828,20.008893495013606,24.68755435388405
0.9,0,2,0.1,cumulative_ucb_cv,80,12,21.68838790244003,19.22891438928313,24.147861415596932
0.9,0,2,0.1,cumulative_ucb_cv,90,12,21.528563673916636,19.19692745722149,23.86019989061178
0.9,0,2,0.1,cumulative_ucb_cv,100,12,19.97222103999501,17.66172225052982,22.2827198294602
0.9,0,2,0.1,cumulative_ucb_cv,110,12,20.034436961412855,17.903173018253344,22.165700904572365
0.9,0,2,0.1,cumulative_ucb_cv,120,12,19.687063502842232,17.50642170818972,21.867705297494744
0.9,0,2,0.1,cumulative_ucb_cv,130,12,19.383012091039195,17.386498169179735,21.379526012898655
0.9,0,2,0.1,cumulative_ucb_cv,140,12,19.12373733143929,17.23140226500554,21.016072397873042
0.9,0,2,0.1,cumulative_ucb_cv,150,12,18.664441896141017,16.536402864587394,20.79248092769464
0.9,0,2,0.1,cumulative_ucb_cv,160,12,18.7360871097815,16.75819615477878,20.71397806478422
0.9,0,2,0.1,cumulative_ucb_cv,170,12,18.52836257605665,16.594978487672755,20.461746664440547
0.9,0,2,0.1,cumulative_ucb_cv,180,12,18.551278020603856,16.592978947855805,20.509577093351908
0.9,0,2,0.1,cumulative_ucb_cv,190,12,18.226019889198188,16.41353393247559,20.038505845920785
0.9,0,2,0.1,cumulative_ucb_cv,200,12,17.59767690054336,15.842931202082472,19.352422599004246
0.9,0,2,0.1,cumulative_ucb_cv,210,12,17.134428454237213,15.433203869468528,18.835653039005898
0.9,0,2,0.1,cumulative_ucb_cv,220,12,16.81149795913296,15.143416234202835,18.479579684063086
0.9,0,2,0.1,cumulative_ucb_cv,230,12,16.452756433973235,14.879793901881598,18.025718966064872
0.9,0,2,0.1,cumulative_ucb_cv,240,12,16.265150707163624,14.738006574460924,17.792294839866322
0.9,0,2,0.1,cumulative_ucb_cv,250,12,16.401517873710578,14.96064752889681,17.842388218524345
0.9,0,2,0.1,cumulative_ucb_cv,260,12,16.18980515234023,14.722282331244918,17.657327973435542
0.9,0,2,0.1,cumulative_ucb_cv,270,12,16.01103520593837,14.617591998924297,17.404478412952443
0.9,0,2,0.1,cumulative_ucb_cv,280,12,16.117373851844373,14.615460870817198,17.61928683287155
0.9,0,2,0.1,cumulative_ucb_cv,290,12,16.209792537585358,14.641563314011629,17.778021761159085
0.9,0,2,0.1,cumulative_ucb_cv,300,12,16.096255038759683,14.449700924874806,17.74280915264456
