profile,seeds,pa_reduction_vs_sco_pct_mean,pa_reduction_vs_sco_pct_ci_low,pa_reduction_vs_sco_pct_ci_high,pa_reduction_vs_forced_pct_mean,pa_reduction_vs_forced_pct_ci_low,pa_reduction_vs_forced_pct_ci_high,pa_reduction_vs_stopwait_pct_mean,pa_reduction_vs_stopwait_pct_ci_low,pa_reduction_vs_stopwait_pct_ci_high,sco_redundant_attempt_rate_mean,sco_redundant_attempt_rate_ci_low,sco_redundant_attempt_rate_ci_high,pa_redundant_attempt_rate_mean,pa_redundant_attempt_rate_ci_low,pa_redundant_attempt_rate_ci_high,stopwait_redundant_attempt_rate_mean,stopwait_redundant_attempt_rate_ci_low,stopwait_redundant_attempt_rate_ci_high,sco_stale_arrival_rate_mean,sco_stale_arrival_rate_ci_low,sco_stale_arrival_rate_ci_high,pa_stale_arrival_rate_mean,pa_stale_arrival_rate_ci_low,pa_stale_arrival_rate_ci_high,stopwait_stale_arrival_rate_mean,stopwait_stale_arrival_rate_ci_low,stopwait_stale_arrival_rate_ci_high,sco_post_cost_mean,sco_post_cost_ci_low,sco_post_cost_ci_high,pa_post_cost_mean,pa_post_cost_ci_low,pa_post_cost_ci_high,stopwait_post_cost_mean,stopwait_post_cost_ci_low,stopwait_post_cost_ci_high,forced_post_cost_mean,forced_post_cost_ci_low,forced_post_cost_ci_high,pa_calendar_delay_mean,pa_calendar_delay_ci_low,pa_calendar_delay_ci_high,pa_observation_delay_mean,pa_observation_delay_ci_low,pa_observation_delay_ci_high
fixed,12,87.76097991350458,87.5469490999034,87.97501072710577,86.83291023813364,86.65711448799561,87.00870598827166,9.809885439143848,7.9531007499034025,11.666670128384293,0.8005924479166667,0.8003183621163898,0.8008665337169436,0.26720703124999995,0.2605548564664512,0.2738592060335487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3486.4406227579652,3241.2805743161293,3731.600671199801,426.02436417220366,398.61872910674896,453.42999923765836,472.5286277468288,442.70976757098515,502.3474879226725,3237.530919568791,3023.9981888479088,3451.063650289673,45.624893459347696,44.7321136435002,46.51767327519519,7.453421768970703,7.401978969440632,7.504864568500773
light_iid,12,84.01402291761615,83.70884858956134,84.31919724567095,82.89765530152543,82.52488568106278,83.27042492198808,11.821251609639154,10.653171477579445,12.989331741698862,0.7808203125,0.7801235593321437,0.7815170656678562,0.33264322916666667,0.3282916260281987,0.3369948323051346,0.09612630208333334,0.09430049200980771,0.09795211215685896,0.11741176023232607,0.11557972928785577,0.11924379117679636,0.01781120370487799,0.016998168671921266,0.018624238737834715,0.003342196423819976,0.0030467674374663103,0.003637625410173642,2797.9291280013167,2608.184442265541,2987.6738137370926,446.51981864430394,419.4172998875991,473.6223374010088,506.60374191612976,475.42409997672405,537.7833838555355,2617.4670206342416,2431.128586551274,2803.805454717209,46.4241249908596,44.66001707827354,48.188232903445666,7.63035464906645,7.269922406710001,7.990786891422899
heavy_iid,12,62.708358237215684,62.26942062462582,63.147295849805545,61.48774577276006,61.04891234303161,61.926579202488504,60.86451241118766,59.879143074675135,61.84988174770019,0.7444075520833334,0.7425510619504461,0.7462640422162208,0.3868424479166667,0.38049436185215874,0.3931905339811747,0.09304687499999999,0.08765653359057332,0.09843721640942665,0.06468930460901107,0.06358769612541137,0.06579091309261076,0.07509003737276912,0.07376585691275378,0.07641421783278446,0.014830095190905121,0.013615768307501712,0.01604442207430853,1261.2886689190962,1179.7623756052496,1342.8149622329427,470.23062358837814,440.06302769541077,500.3982194813455,1204.469631331104,1119.252711611418,1289.68655105079,1221.6612536992461,1141.0727129998902,1302.249794398602,47.363290407116885,45.460145247951615,49.266435566282155,7.778233458351992,7.289865311161059,8.266601605542926
lognormal,12,69.44075243099967,68.98601461097999,69.89549025101934,68.04734724924278,67.54440229149971,68.55029220698584,40.644096634465384,39.08520370479521,42.20298956413556,0.7859049479166668,0.7840643128497821,0.7877455829835515,0.44511067708333335,0.4397645940950973,0.4504567600715694,0.20525390624999998,0.19865998471916121,0.21184782778083874,0.08884409091946743,0.0873729711625879,0.09031521067634697,0.05530010991268045,0.053919284606069935,0.05668093521929097,0.030457269177010277,0.029436890965753304,0.03147764738826725,1784.043945248651,1658.2601089370155,1909.8277815602864,544.2879268621199,509.928834418873,578.6470193053667,917.9889561997129,858.3687514953252,977.6091609041006,1706.5209897317472,1584.859686958946,1828.1822925045485,47.84059631034776,45.61938912870688,50.06180349198865,7.5970782884127575,7.209815245060319,7.984341331765196
markov_burst,12,76.20871172321405,75.70673541926041,76.71068802716769,75.00935766158689,74.55483291903735,75.46388240413643,52.43946944797127,51.11703852338613,53.76190037255641,0.7536588541666666,0.7527303280798749,0.7545873802534582,0.33440755208333334,0.33193910023321954,0.33687600393344713,0.07514973958333333,0.0715355915385847,0.07876388762808197,0.061564568493811776,0.059767358414561364,0.06336177857306219,0.024184017738087343,0.023200152110885518,0.02516788336528917,0.003981199581462033,0.0036115405145834114,0.0043508586483406555,2116.241906624064,1979.196448878467,2253.287364369661,503.07515947009284,470.78461861292936,535.3657003272564,1059.6798848411543,986.7842345753643,1132.5755351069442,2014.1698197849992,1884.955775565966,2143.3838640040326,47.08372403640123,45.31239605341806,48.855052019384395,7.604915096160066,7.249209638119584,7.960620554200547
forward_heavy,12,77.04098256146135,76.69715360066652,77.38481152225617,75.86804299031611,75.5761461790377,76.15993980159452,50.772539835743224,49.760543448747285,51.78453622273916,0.7691080729166666,0.7683860399562076,0.7698301058771256,0.30694661458333333,0.3018161667665928,0.3120770624000739,0.06716145833333333,0.06384283994124967,0.07048007672541698,0.06986721233273112,0.0684988745217449,0.07123555014371734,0.07029627143500838,0.06916702529941002,0.07142551757060675,0.01503819690826145,0.014198622738824941,0.015877771077697958,1997.317530189902,1869.6487251914104,2124.9863351883937,458.48082872525515,429.00124085515966,487.96041659535064,933.8440283602896,865.1365111491683,1002.5515455714109,1899.9845707068969,1779.0275952045304,2020.9415462092634,46.55293191046261,44.98613403325984,48.119729787665385,7.581856015826767,7.259322770126849,7.904389261526685
feedback_heavy,12,80.53492778833345,80.2854390898103,80.7844164868566,79.55861722052246,79.23582424690566,79.88141019413926,38.235821593302525,37.112381241638595,39.359261944966455,0.7690885416666667,0.767984287967088,0.7701927953662455,0.30593750000000003,0.2991515580137244,0.31272344198627566,0.06616536458333334,0.06154472401884475,0.07078600514782195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2339.0881423472733,2190.2542338895832,2487.9220508049634,455.31974073181055,425.760521274667,484.8789601889541,737.5783407226228,689.902878743771,785.2538027014746,2229.434873401306,2077.690902556455,2381.178844246157,46.407460435564275,45.09586128687286,47.71905958425569,7.460188238931981,7.395901994894582,7.524474482969381
