profile,method,seeds,post_cost_mean,post_cost_ci_low,post_cost_ci_high,total_cost_mean,total_cost_ci_low,total_cost_ci_high,delivery_rate_mean,delivery_rate_ci_low,delivery_rate_ci_high,ack_rate_mean,ack_rate_ci_low,ack_rate_ci_high,redundant_attempt_rate_mean,redundant_attempt_rate_ci_low,redundant_attempt_rate_ci_high,stale_arrival_rate_mean,stale_arrival_rate_ci_low,stale_arrival_rate_ci_high,mean_inflight_per_slot_mean,mean_inflight_per_slot_ci_low,mean_inflight_per_slot_ci_high,max_inflight_count_mean,max_inflight_count_ci_low,max_inflight_count_ci_high,detected_fraction_mean,detected_fraction_ci_low,detected_fraction_ci_high,calendar_delay_mean,calendar_delay_ci_low,calendar_delay_ci_high,observation_delay_mean,observation_delay_ci_low,observation_delay_ci_high
fixed,true,12,1218.849744316419,1133.3888800312188,1304.3106086016192,1236.9281347910858,1149.906258909502,1323.9500106726696,0.8981054687500002,0.8964969244878617,0.8997140130121387,0.9949999999999998,0.9949999999999997,0.9949999999999999,0.6738541666666666,0.673464076439289,0.6742442568940443,0.0,0.0,0.0,19.949999999999996,19.949999999999992,19.95,5.0,5.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
fixed,sco,12,3486.4406227579652,3241.2805743161293,3731.600671199801,3548.838431688287,3312.388610422707,3785.288252953867,0.8977083333333332,0.8961950142339443,0.8992216524327221,0.9949999999999998,0.9949999999999997,0.9949999999999999,0.8005924479166667,0.8003183621163898,0.8008665337169436,0.0,0.0,0.0,19.949999999999996,19.949999999999992,19.95,5.0,5.0,5.0,0.947664301340772,0.9280801904032449,0.967248412278299,44.64573738095084,43.867275210636805,45.42419955126488,7.4320431829619595,7.382588667535132,7.481497698388787
fixed,forced,12,3237.530919568791,3023.9981888479088,3451.063650289673,3313.199715959827,3097.1789901484117,3529.220441771242,0.897578125,0.8961426747980783,0.8990135752019217,0.9949999999999998,0.9949999999999997,0.9949999999999999,0.7904492187500001,0.7900087448671116,0.7908896926328886,0.0001667661483194081,7.413576259273728e-05,0.0002593965340460789,19.949999999999996,19.949999999999992,19.95,5.0,5.0,5.0,0.9439818820333526,0.922534011755491,0.9654297523112143,44.78066102681873,43.50023369245859,46.06108836117886,7.425978207651166,7.368580552435735,7.483375862866597
fixed,pa16,12,426.02436417220366,398.61872910674896,453.42999923765836,450.1279549543729,423.6003759159864,476.65553399275944,0.8978125000000001,0.8962868283427678,0.8993381716572324,0.9949999999999998,0.9949999999999997,0.9949999999999999,0.26720703124999995,0.2605548564664512,0.2738592060335487,0.0,0.0,0.0,19.949999999999996,19.949999999999992,19.95,5.0,5.0,5.0,0.9521181774858246,0.9299576605828317,0.9742786943888175,45.624893459347696,44.7321136435002,46.51767327519519,7.453421768970703,7.401978969440632,7.504864568500773
fixed,stopwait,12,472.5286277468288,442.70976757098515,502.3474879226725,517.6131152999191,486.413682993422,548.812547606416,0.8977929687499998,0.8964685930749098,0.8991173444250898,0.9949999999999998,0.9949999999999997,0.9949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,19.949999999999996,19.949999999999992,19.95,1.0,1.0,1.0,0.9586929887481358,0.942038692850463,0.9753472846458086,43.220326725134065,42.59577069047688,43.84488275979125,7.428272799758463,7.332819259976899,7.523726339540026
light_iid,true,12,1042.8373413024644,972.4710808098007,1113.2036017951282,1056.6234654170655,986.00290800366,1127.244022830471,0.7068294270833332,0.7051207133389785,0.7085381408276878,0.9950585937499999,0.9949053238138577,0.9952118636861422,0.64994140625,0.6488506196038731,0.6510321928961268,0.08863869340237217,0.08763673122807869,0.08964065557666565,19.944375,19.91857244959348,19.97017755040652,5.833333333333333,5.61309471159534,6.053571955071326,nan,nan,nan,nan,nan,nan,nan,nan,nan
light_iid,sco,12,2797.9291280013167,2608.184442265541,2987.6738137370926,2850.702034808716,2659.2652816768336,3042.138787940598,0.6789778645833334,0.6771607338389581,0.6807949953277087,0.9949283854166665,0.9947794255312712,0.9950773453020618,0.7808203125,0.7801235593321437,0.7815170656678562,0.11741176023232607,0.11557972928785577,0.11924379117679636,19.94559895833333,19.9171434694984,19.974054447168264,7.0,7.0,7.0,0.9447253685305156,0.9133728683089142,0.976077868752117,45.71193019483622,44.703087125857685,46.720773263814756,7.478806826868617,7.412920952662283,7.5446927010749505
light_iid,forced,12,2617.4670206342416,2431.128586551274,2803.805454717209,2684.1493011409193,2507.307894996997,2860.9907072848414,0.684609375,0.6829107182606096,0.6863080317393904,0.99498046875,0.994807591966909,0.995153345533091,0.7716471354166666,0.7707171517804905,0.7725771190528428,0.11458936971276901,0.11298992457414436,0.11618881485139365,19.945208333333337,19.91517014987831,19.975246516788363,7.0,7.0,7.0,0.9550957085883556,0.933193527493473,0.9769978896832382,47.291671049825766,44.032623165091145,50.550718934560386,7.875869703072777,7.269590659581174,8.482148746564379
light_iid,pa16,12,446.51981864430394,419.4172998875991,473.6223374010088,471.5525067857505,444.99722525118915,498.10778832031184,0.8633333333333334,0.8611574807401687,0.8655091859264981,0.9950716145833334,0.9949578066493079,0.9951854225173589,0.33264322916666667,0.3282916260281987,0.3369948323051346,0.01781120370487799,0.016998168671921266,0.018624238737834715,19.94354166666667,19.915440366621365,19.971642966711972,6.666666666666667,6.388084397295336,6.945248936037998,0.9483723241076182,0.9310953901956412,0.9656492580195951,46.4241249908596,44.66001707827354,48.188232903445666,7.63035464906645,7.269922406710001,7.990786891422899
light_iid,stopwait,12,506.60374191612976,475.42409997672405,537.7833838555355,547.2640240541978,516.4265406031091,578.1015075052865,0.8923632812499999,0.89106792610708,0.8936586363929198,0.99498046875,0.994917601546275,0.9950433359537251,0.09612630208333334,0.09430049200980771,0.09795211215685896,0.003342196423819976,0.0030467674374663103,0.003637625410173642,19.94700520833333,19.923821302019356,19.970189114647305,4.333333333333333,4.054751063962002,4.611915602704664,0.9540254655144361,0.9342150951023315,0.9738358359265408,43.12925063429105,42.11984477558158,44.13865649300051,7.429144832480408,7.346063888005427,7.512225776955389
