seed,family,success_probability,delay_slots,capacity,capacity_ratio,frozen_inflight_beta,sco_post_cost,pipeline_post_cost,pipeline_reduction_vs_sco_pct,sco_redundant_attempt_rate,pipeline_redundant_attempt_rate,redundant_attempt_reduction,sco_calendar_delay,pipeline_calendar_delay
20261000,delay,0.9,0,4,0.2,16.0,118.86754893583344,118.86754893583344,0.0,0.0,0.0,0.0,39.064516129032256,39.064516129032256
20261000,delay,0.9,1,4,0.2,16.0,501.2894535110983,210.86317559038304,57.935844428110514,0.52265625,0.00421875,0.5184375,41.5,40.70967741935484
20261000,delay,0.9,3,4,0.2,16.0,2710.2347749952983,571.6680015566901,78.90706713562547,0.7534375,0.1146875,0.6387499999999999,42.84375,42.41935483870968
20261000,delay,0.9,5,4,0.2,16.0,7945.737174515298,1261.9575209591048,84.11780438690276,0.8325,0.43515625,0.39734375,47.5,44.45161290322581
20261000,capacity,0.9,1,2,0.1,16.0,2925.7798466474214,771.4613275132835,73.63228376881187,0.516875,0.0,0.516875,78.24137931034483,79.4
20261000,capacity,0.9,1,4,0.2,16.0,501.2894535110983,210.86317559038304,57.935844428110514,0.52265625,0.00421875,0.5184375,41.5,40.70967741935484
20261000,capacity,0.9,1,8,0.4,16.0,117.97428654999507,88.96110467679999,24.59280129734024,0.5323046875,0.0578125,0.47449218750000005,20.59375,19.870967741935484
20261001,delay,0.9,0,4,0.2,16.0,112.09679485464868,112.09679485464868,0.0,0.0,0.0,0.0,39.294117647058826,39.294117647058826
20261001,delay,0.9,1,4,0.2,16.0,465.5482711391565,196.10234383349328,57.87711908935936,0.52125,0.0021875,0.5190625,41.65625,41.27272727272727
20261001,delay,0.9,3,4,0.2,16.0,2552.6744222444436,530.6991756540027,79.21007195318765,0.752578125,0.1153125,0.637265625,39.75757575757576,42.85294117647059
20261001,delay,0.9,5,4,0.2,16.0,7498.404534708109,1163.0333257346879,84.48958948065129,0.832421875,0.425703125,0.40671874999999996,49.71875,46.588235294117645
20261001,capacity,0.9,1,2,0.1,16.0,2795.354034902142,760.3063606527426,72.80107094987848,0.51765625,0.0,0.51765625,76.0,79.81818181818181
20261001,capacity,0.9,1,4,0.2,16.0,465.5482711391565,196.10234383349328,57.87711908935936,0.52125,0.0021875,0.5190625,41.65625,41.27272727272727
20261001,capacity,0.9,1,8,0.4,16.0,113.38634535199071,85.75992813464757,24.364853749877135,0.5359765625,0.0588671875,0.47710937500000006,21.529411764705884,21.88235294117647
20261002,delay,0.9,0,4,0.2,16.0,111.40813671455558,111.40813671455558,0.0,0.0,0.0,0.0,40.064516129032256,40.064516129032256
20261002,delay,0.9,1,4,0.2,16.0,471.10913376065196,195.8030377270854,58.43785999985226,0.51984375,0.003046875,0.516796875,39.93103448275862,40.13333333333333
20261002,delay,0.9,3,4,0.2,16.0,2566.073477729449,518.817777127442,79.78164765622729,0.752109375,0.115,0.637109375,40.8,41.793103448275865
20261002,delay,0.9,5,4,0.2,16.0,7590.383161358768,1134.3768839359293,85.05507746024165,0.831953125,0.4396875,0.39226562499999995,46.56666666666667,42.96551724137931
20261002,capacity,0.9,1,2,0.1,16.0,2763.139685510454,736.3783422188598,73.34994151470762,0.5165625,0.0,0.5165625,75.0,75.82758620689656
20261002,capacity,0.9,1,4,0.2,16.0,471.10913376065196,195.8030377270854,58.43785999985226,0.51984375,0.003046875,0.516796875,39.93103448275862,40.13333333333333
20261002,capacity,0.9,1,8,0.4,16.0,114.05659209615393,85.90313881968015,24.683758088037013,0.5367578125,0.058125,0.4786328125,20.06451612903226,21.0625
20261003,delay,0.9,0,4,0.2,16.0,97.13875154779775,97.13875154779775,0.0,0.0,0.0,0.0,39.975,39.975
20261003,delay,0.9,1,4,0.2,16.0,409.18044346632996,170.2864881662632,58.38352226130389,0.521875,0.001796875,0.520078125,39.35897435897436,41.205128205128204
