family,success_probability,delay_slots,capacity,capacity_ratio,method,seeds,total_excess_pct_mean,total_excess_pct_ci_low,total_excess_pct_ci_high,pre_excess_pct_mean,pre_excess_pct_ci_low,pre_excess_pct_ci_high,post_excess_pct_mean,post_excess_pct_ci_low,post_excess_pct_ci_high,delivery_rate_mean,delivery_rate_ci_low,delivery_rate_ci_high,detected_fraction_mean,detected_fraction_ci_low,detected_fraction_ci_high,calendar_delay_mean,calendar_delay_ci_low,calendar_delay_ci_high,observation_delay_mean,observation_delay_ci_low,observation_delay_ci_high,pre_alarms_mean,pre_alarms_ci_low,pre_alarms_ci_high,post_unchanged_alarms_mean,post_unchanged_alarms_ci_low,post_unchanged_alarms_ci_high
delivery,1.0,0,4,0.2,cumulative_ucb_cv,12,7.769984781043012,7.1365019159390535,8.40346764614697,6.303880072613723,5.43032918321816,7.177430962009287,9.53773388085792,8.58364171188621,10.491826049829628,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
delivery,1.0,0,4,0.2,sco_reset_ucb,12,5.4802283578863475,4.875075707388265,6.08538100838443,6.324730820587296,5.443594593356269,7.205867047818322,4.5410905621821955,4.001039225543132,5.081141898821259,1.0,1.0,1.0,0.9614284971445359,0.9428749998838905,0.9799819944051814,37.18927498511227,36.37722164237934,38.0013283278452,7.455921546478354,7.380725480061094,7.531117612895614,1.25,0.76,1.74,1.0833333333333333,0.5196773382369616,1.6469893284297048
delivery,1.0,0,4,0.2,ps_forced_reset_ucb,12,7.274285612065015,6.642962216459881,7.905609007670148,8.290068829020079,7.406322624346484,9.173815033693675,6.14629602348009,5.598342233840709,6.694249813119471,1.0,1.0,1.0,0.9605199387256418,0.9435741900135594,0.9774656874377242,36.79729288599258,35.79198730360505,37.80259846838012,7.377795804752947,7.278531690578685,7.477059918927209,1.25,0.76,1.74,1.25,0.5623051240381077,1.9376948759618924
delivery,0.9,0,4,0.2,cumulative_ucb_cv,12,8.327581422607745,7.671067731654626,8.984095113560864,6.8944184618535855,5.933512536068136,7.855324387639035,10.09074955524549,9.079214952424246,11.102284158066732,0.9003255208333333,0.898530680176905,0.9021203614897616,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
delivery,0.9,0,4,0.2,sco_reset_ucb,12,5.982453828753328,5.310770306072496,6.6541373514341595,6.909840521243201,5.965451173252652,7.854229869233749,4.977092123331817,4.300476378218649,5.653707868444984,0.9004882812499999,0.8987002534119871,0.9022763090880127,0.9604001247271513,0.9391249857042772,0.9816752637500255,41.31966765287557,40.171717064908954,42.46761824084219,7.448901989526052,7.358301658319442,7.539502320732663,1.8333333333333333,1.0034106157434861,2.6632560509231804,0.75,0.32350974290854023,1.1764902570914597
delivery,0.9,0,4,0.2,ps_forced_reset_ucb,12,7.790390331493789,7.136598316390742,8.444182346596836,8.853620484724766,7.86144031658083,9.845800652868704,6.623269124182479,6.009673094791841,7.236865153573117,0.90048828125,0.8987341532248603,0.9022424092751398,0.9536582555507649,0.9277270231596606,0.9795894879418692,40.905546162303466,40.100706586408556,41.710385738198376,7.411197246734282,7.379047214607514,7.443347278861051,1.75,0.90991162081095,2.59008837918905,1.1666666666666667,0.5839700444563148,1.7493632888770185
delivery,0.8,0,4,0.2,cumulative_ucb_cv,12,9.186964823783077,8.308227303562724,10.06570234400343,7.434871766978883,6.3200817358230506,8.549661798134716,11.284972605594156,9.969894946025562,12.60005026516275,0.7983528645833333,0.796514740363419,0.8001909888032477,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
delivery,0.8,0,4,0.2,sco_reset_ucb,12,6.975442698463454,6.118389129205153,7.832496267721756,7.492254096371216,6.375452587034556,8.609055605707876,6.4287760066975395,5.285139932416246,7.572412080978833,0.7985481770833333,0.7964795328885051,0.8006168212781614,0.9536690137658574,0.9309666315564942,0.9763713959752207,45.60242178154368,44.7120686805551,46.49277488253227,7.362370532098592,7.3069794298244,7.417761634372784,1.5,0.7182304454868835,2.2817695545131165,1.4166666666666667,0.757788679464027,2.0755446538693065
delivery,0.8,0,4,0.2,ps_forced_reset_ucb,12,8.999379661895764,8.199676018909868,9.79908330488166,9.546534555047222,8.496954202636548,10.596114907457896,8.438036862962221,7.295671740880078,9.580401985044364,0.79849609375,0.7964213047921804,0.8005708827078195,0.9334742704003823,0.897967959811056,0.9689805809897086,45.32357570589931,44.582247058734,46.06490435306462,7.363994872367582,7.29407299944812,7.433916745287044,1.5833333333333333,0.841354679171151,2.3253119874955157,0.8333333333333334,0.4272333804680668,1.2394332861986
delivery,0.7,0,4,0.2,cumulative_ucb_cv,12,9.374705500385339,8.550997932089436,10.198413068681242,8.008743448332956,6.861237251167091,9.156249645498821,11.063092683580424,9.635398284973583,12.490787082187264,0.6991015625,0.6968919159660933,0.7013112090339066,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
delivery,0.7,0,4,0.2,sco_reset_ucb,12,7.3050958954027685,6.567098062992598,8.043093727812938,8.049950710165223,6.906927251518095,9.192974168812352,6.513959970663347,5.254355274396484,7.77356466693021,0.6992057291666667,0.6970344939820863,0.7013769643512471,0.9660689776341678,0.9471731131390255,0.98496484212931,51.620638533170364,50.44129232056148,52.79998474577925,7.394135415933017,7.306052124003405,7.482218707862629,1.0833333333333333,0.4702149586175354,1.696451708049131,1.0833333333333333,0.6346731505714132,1.5319935160952534
delivery,0.7,0,4,0.2,ps_forced_reset_ucb,12,9.368238443831745,8.512291384112492,10.224185503550997,10.31321008236324,9.012972890231609,11.61344727449487,8.422807260767604,7.081758409695985,9.763856111839221,0.6992317708333333,0.6971045877679255,0.7013589538987411,0.9612083145933578,0.9420099438070354,0.9804066853796801,51.976843111767714,51.06312407343948,52.890562150095946,7.4134793207398815,7.314756409415058,7.512202232064705,1.1666666666666667,0.4496216643456582,1.8837116689876754,1.0,0.5821265959430035,1.4178734040569965
delay,0.9,0,4,0.2,cumulative_ucb_cv,12,8.327581422607745,7.671067731654626,8.984095113560864,6.8944184618535855,5.933512536068136,7.855324387639035,10.09074955524549,9.079214952424246,11.102284158066732,0.9003255208333333,0.898530680176905,0.9021203614897616,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
delay,0.9,0,4,0.2,sco_reset_ucb,12,5.982453828753328,5.310770306072496,6.6541373514341595,6.909840521243201,5.965451173252652,7.854229869233749,4.977092123331817,4.300476378218649,5.653707868444984,0.9004882812499999,0.8987002534119871,0.9022763090880127,0.9604001247271513,0.9391249857042772,0.9816752637500255,41.31966765287557,40.171717064908954,42.46761824084219,7.448901989526052,7.358301658319442,7.539502320732663,1.8333333333333333,1.0034106157434861,2.6632560509231804,0.75,0.32350974290854023,1.1764902570914597
delay,0.9,0,4,0.2,ps_forced_reset_ucb,12,7.790390331493789,7.136598316390742,8.444182346596836,8.853620484724766,7.86144031658083,9.845800652868704,6.623269124182479,6.009673094791841,7.236865153573117,0.90048828125,0.8987341532248603,0.9022424092751398,0.9536582555507649,0.9277270231596606,0.9795894879418692,40.905546162303466,40.100706586408556,41.710385738198376,7.411197246734282,7.379047214607514,7.443347278861051,1.75,0.90991162081095,2.59008837918905,1.1666666666666667,0.5839700444563148,1.7493632888770185
delay,0.9,1,4,0.2,cumulative_ucb_cv,12,10.845999472352139,9.93316969237382,11.758829252330457,9.85834654951156,8.703174292867992,11.01351880615513,12.082897679569927,10.855294943280928,13.310500415858925,0.8992317708333332,0.8973622777431454,0.901101263923521,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
